report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,2516313000.0,1610969000.0,203390000.0,,1533380000.0,,,492130000.0,947729000.0,534242000.0,244959000.0,217005000.0,31150000.0,20808000.0,1.16,187339000.0,,,90057000.0,,0.0,7.936,5.4744,23.9082,1.16,335016000.0,0.1415206928484785,0.08623927150557184,0.22897368340527724,0.5637075577512137,0.25846945698612156,0.09734838233558385,0.15975100757803024,,0.3534934564627652,0.0,7.920590982840848,,,,,,,,,,,,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2010-06-30,2693269000.0,1847882000.0,284084000.0,,1567465000.0,,,523474000.0,320801000.0,199443000.0,106632000.0,89566000.0,7739000.0,13071000.0,0.47,190072.0,,,25163000.0,,0.0,,4.629,18.4347,0.47,131795000.0,0.05714066980761931,0.03325549731571559,0.27919489029024225,0.6217031742419755,0.33239297882487895,0.03959203480974236,0.0680283132318744,,0.41083101361903485,0.0,6.504702834372932,,,,,,,,,,,,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2010-09-30,2808370000.0,1917305000.0,310140000.0,,1637166000.0,,,423721000.0,739396000.0,432448000.0,232369000.0,192646000.0,15784000.0,29653000.0,1.01,190388.0,,,52976000.0,,0.0,,4.6135,17.3108,1.01,285345000.0,0.11767041338508129,0.06859708656622882,0.260545093562854,0.5848665667653057,0.31426867334959885,0.08274159031751514,0.1419336829618988,,0.38591634252822576,0.0,6.182062939317728,,,,,,,,,,,,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2010-12-31,2828726000.0,1738444000.0,299935000.0,,1649945000.0,,,500616000.0,1107220000.0,648845000.0,349822000.0,293422000.0,23456000.0,42114000.0,1.53,192344.0,,,80153000.0,,0.0,,4.614,17.3111,1.53,429975000.0,0.17783744306628402,0.1037293820610409,0.2650078575170246,0.5860127165332996,0.3159462437455971,0.12366768644258935,0.21202040068002267,,0.3883374577771355,0.0,5.7960691483154685,3115146000.0,792639000.0,933782000.0,1814978000.0,,1182131000.0,78129000.0,4.17,4.17,0.0,11.9517976679594,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2011-03-31,2968058000.0,1774983000.0,340316000.0,2968058000.0,1812438000.0,,,703924000.0,-680212000.0,-406300000.0,-214640000.0,-156684000.0,-15458000.0,-53307000.0,-0.8599999999999999,194142196.0,,,-51680000.0,,0.0,5.2206,4.8157,17.093,-0.8599999999999999,-266320000.0,-0.08644930198991635,-0.05279007350934517,0.2303458333578355,0.5973137786454811,0.31554868188153107,-0.07231664610327695,-0.11842611995555158,,0.3915249951485713,0.0,5.21569071098626,1487205000.0,418950000.0,474183000.0,874436000.0,,580795000.0,31521000.0,2.15,2.15,0.0,15.043399638336346,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2011-06-30,3029299000.0,2095687000.0,328083000.0,,1879222000.0,,,651383000.0,374507000.0,219748000.0,116860000.0,99293000.0,-8015000.0,,0.49,204567000.0,,,25351000.0,,0.0,,4.8014,16.8514,0.49,142211000.0,0.052837291176880644,0.03277755018570303,0.2651298907630565,0.5867660684579995,0.3120368911662532,0.03857658157877449,0.062185308601112585,,0.37972854980013726,0.0,6.387673241222496,1540911000.0,428677000.0,484411000.0,894741000.0,,591211000.0,15767000.0,2.17,2.17,0.0,30.72309253504154,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2011-09-30,3033749000.0,1933376000.0,294153000.0,3033749000.0,1903939000.0,,,675129000.0,715109000.0,414742000.0,214480000.0,178580000.0,-16926000.0,,0.88,202383000.0,238059000.0,,50528000.0,,0.0,,4.0533,14.6444,0.88,265008000.0,0.09379502179429068,0.05886446110077004,0.24972416792405075,0.5799703262020196,0.2999263049409251,0.07069800435039286,0.11265066790480158,,0.3705840648069036,0.0,6.572688362858784,1516624000.0,414611000.0,466522000.0,877035000.0,,570874000.0,-16943000.0,2.04,2.04,0.0,27.534793129906156,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2011-12-31,3021151000.0,1830080000.0,248566000.0,3021151000.0,1941305000.0,,,605725000.0,1044265000.0,598521000.0,302607000.0,256069000.0,-25920000.0,,1.26,202686000.0,293998000.0,,75170000.0,,0.0,,4.7988,17.9111,1.26,377777000.0,0.13190559958378514,0.08475875585166051,0.24521457675973052,0.57315049340924,0.28977989303481394,0.10016281874027481,0.15587813352358337,,0.36176353703322434,0.0,7.362551595954394,1453669000.0,377258000.0,419307000.0,826711000.0,,518676000.0,-66319000.0,1.7700000000000002,1.7700000000000002,0.0,6.322577240308207,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2012-03-31,3083776000.0,2015861000.0,247873000.0,3083776000.0,1990673000.0,,,635755000.0,-750705000.0,-440617000.0,-237431000.0,-197237000.0,85127000.0,,-0.98,-406117000.0,-135599000.0,,-51625000.0,,0.0,8.129,5.1819,21.288,-0.98,-289056000.0,-0.09908056220182823,-0.063959574236261,0.2627356951132602,0.5869376119780739,0.3162773659426805,-0.07699359486551552,-0.11927172368339753,,0.3850460567066957,0.0,8.132636471096086,1383176000.0,336705000.0,396516000.0,792394000.0,,495940000.0,34266000.0,1.65,1.65,0.0,11.571703729644545,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
2012-06-30,3144840000.0,2229298000.0,249989000.0,3144840000.0,2017990000.0,,,779848000.0,352134000.0,203079000.0,96333000.0,78710000.0,9148000.0,,0.39,203700000.0,128971000.0,,25245000.0,,0.0,,4.6698,20.1033,0.39,121578000.0,0.03900415760236671,0.025028300326884675,0.22352286345538913,0.5767094344766481,0.2735691526521154,0.030632083031251194,0.04773710474283817,,0.3452606110173968,0.0,8.917584373712444,1360803000.0,316122000.0,375989000.0,775725000.0,,475307000.0,51429000.0,1.5500000000000003,1.5500000000000003,0.0,7.310836298586401,1.5260459,83.35,34.125,9.39517,35016.87,3.6783,8.0086
