report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2010-06-30,13013000000.0,2187000000.0,1215000000.0,6472000000.0,6541000000.0,2584000000.0,1017000000.0,1484000000.0,448000000.0,441000000.0,-39000000.0,223000000.0,2.44,,844000000.0,,431000000.0,,2584000000.0,,2.44,879000000.0,0.06742088365693319,0.03388918773534158,0.2971698113207547,0.3018867924528302,0.03442711135018827,0.0490958904109589,,0.5923180592991913,0.39504662895581716,1.8,,,,,,,,,
2010-09-30,13089000000.0,2003000000.0,1417000000.0,6352000000.0,6737000000.0,2194000000.0,1149000000.0,2239000000.0,741000000.0,673000000.0,-60000000.0,289000000.0,3.8,,1452000000.0,,662000000.0,,2194000000.0,,3.8,1403000000.0,0.09989609618524566,0.05141722056688822,0.3005806163465833,0.3309513175524788,0.05661242264496906,0.08296943231441048,,0.6266190263510496,0.3256642422443224,1.4135497529992942,,,,,,,,,
2011-09-30,15833000000.0,2077000000.0,1958000000.0,8251000000.0,7582000000.0,3507000000.0,1252000000.0,2778000000.0,1041000000.0,749000000.0,51000000.0,436000000.0,4.12,179000000.0,1785000000.0,,681000000.0,,3507000000.0,,4.12,1722000000.0,0.09878659984173041,0.04730625907913851,0.26961843052555795,0.3747300215982721,0.06574875260531801,0.09387681486157454,,0.6198704103671706,0.46254286467950406,1.060776302349336,,,,,,,,,
2011-12-31,16444000000.0,2418000000.0,2268000000.0,9179000000.0,7265000000.0,4100000000.0,1455000000.0,3763000000.0,740000000.0,453000000.0,65000000.0,262000000.0,2.54,179000000.0,2170000000.0,,965000000.0,,4100000000.0,1.0661,2.54,1705000000.0,0.062353750860289055,0.02754804183896862,0.12038267339888387,0.19665160775976614,0.045001216249087816,0.06511218653761548,,0.4530959340951369,0.5643496214728149,1.066137566137566,10264000000.0,2316000000.0,2970000000.0,5709000000.0,17000000.0,12.899999999999999,12.899999999999999,0.7181643019793309,174.7058823529412
2012-03-31,17064000000.0,,,9531000000.0,7533000000.0,4088000000.0,1143000000.0,1165000000.0,501000000.0,263000000.0,32000000.0,111000000.0,1.47,180000000.0,741000000.0,,312000000.0,,4088000000.0,1.0661,1.47,813000000.0,0.03491304924996681,0.015412564463197375,0.2257510729613734,0.43004291845493564,0.029360056258790436,0.043111608295327425,,0.6978540772532189,0.5426788795964423,,9945000000.0,2138000000.0,3023000000.0,5643000000.0,88000000.0,11.93,11.93,0.7244373560163034,34.35227272727273
2012-06-30,16981000000.0,,,9176000000.0,7805000000.0,4074000000.0,702000000.0,2056000000.0,600000000.0,556000000.0,59000000.0,200000000.0,3.06,180000000.0,1247000000.0,,,,4074000000.0,,3.06,600000000.0,0.07123638693145419,0.032742476885931335,0.2704280155642023,0.2918287937743191,0.03533360815028561,0.050509302129808906,,0.2918287937743191,0.5219730941704036,,9762000000.0,2021000000.0,2882000000.0,4840000000.0,207000000.0,11.19,11.19,0.8417355371900826,13.922705314009661
2012-09-30,16860000000.0,,,8852000000.0,8008000000.0,3747000000.0,1617000000.0,3062000000.0,1050000000.0,776000000.0,95000000.0,312000000.0,4.3,180000000.0,2171000000.0,,,,3747000000.0,,4.3,1050000000.0,0.0969030969030969,0.04602609727164887,0.2534291312867407,0.34291312867406926,0.06227758007117438,0.0893236920459379,,0.34291312867406926,0.4679070929070929,,10046000000.0,2048000000.0,2891000000.0,4168000000.0,251000000.0,11.370000000000001,11.370000000000001,0.8989923224568138,11.51792828685259
2012-12-31,17554000000.0,2771000000.0,2532000000.0,9296000000.0,8258000000.0,3736000000.0,1387000000.0,-2060000000.0,-739000000.0,-568000000.0,-61000000.0,-232000000.0,-3.12,-360000000.0,-1226000000.0,0.0,,-1226000000.0,3736000000.0,1.0944,-3.12,-739000000.0,-0.06878178735771373,-0.032357297482055375,0.2757281553398058,0.3587378640776699,-0.042098666970491055,-0.0616141404035351,0.5951456310679611,0.3587378640776699,0.45240978445144103,1.094391785150079,4223000000.0,1027000000.0,1412000000.0,1724000000.0,125000000.0,5.710000000000001,5.710000000000001,2.1670533642691416,11.296
2013-03-31,17710000000.0,,,9196000000.0,8514000000.0,3723000000.0,1305000000.0,1143000000.0,425000000.0,261000000.0,25000000.0,86000000.0,1.45,181000000.0,705000000.0,,,,3723000000.0,1.0944,1.45,425000000.0,0.0306553911205074,0.01473743647656691,0.2283464566929134,0.37182852143482065,0.023997741389045736,0.03473073465718722,,0.37182852143482065,0.4372797744890768,,4201000000.0,1025000000.0,1336000000.0,1336000000.0,118000000.0,5.69,5.69,2.786676646706587,11.322033898305085
2013-12-31,19642000000.0,2611000000.0,2342000000.0,10458000000.0,9184000000.0,4566000000.0,1117000000.0,5015000000.0,1656000000.0,978000000.0,158000000.0,437000000.0,2.69,363000000.0,2937000000.0,,,,4566000000.0,1.1149,2.69,1656000000.0,0.10648954703832753,0.049791263618776095,0.1950149551345962,0.33020937188434696,0.08430913348946135,0.12043636363636363,,0.33020937188434696,0.4971689895470383,1.114859094790777,7160000000.0,1447000000.0,2392000000.0,2392000000.0,217000000.0,5.319999999999999,5.319999999999999,1.9088628762541806,11.023041474654377
