report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-03-31,5991730000.0,206767000.0,1046142000.0,3590142000.0,2372715000.0,,81201000.0,527631000.0,30988000.0,-96395000.0,,,0.0,198350433.0,82095000.0,85152000.0,55480000.0,-3057000.0,0.0,0.1746,,,0.0,86468000.0,-0.040626455347565975,-0.016088007970986678,-0.18269396604824203,0.05873043850721432,0.0051717951242796325,0.013060144180822391,-0.005793821818657357,0.1638796810649867,0.0,0.197647164534069,,,,,,,,,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2013-06-30,6588633000.0,201019000.0,1171083000.0,4204340000.0,2353653000.0,,82840000.0,1172064000.0,126377000.0,-105236000.0,,3244000.0,0.0,201189562.0,252780000.0,759020000.0,115946000.0,-506240000.0,0.0,,,,0.0,242323000.0,-0.044711773570700525,-0.01597235724011339,-0.08978690583449368,0.10782431676085948,0.019181065328726005,0.0536939812283289,-0.43192180631774374,0.20674894886286074,0.0,0.17165222277157127,,,,,,,,,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2013-09-30,6605549000.0,187051000.0,1077745000.0,4030661000.0,2552697000.0,,56960000.0,1969949000.0,334457000.0,65622000.0,,11177000.0,0.0,208673608.0,398343000.0,835765000.0,180143000.0,-437422000.0,0.0,,,,0.0,514600000.0,0.025706928789433293,0.009934374871793397,0.03331152227798791,0.1697795222109811,0.05063273317630374,0.13102103383206076,-0.2220473728000065,0.2612250367902925,0.0,0.17355775252958724,,,,,,,,,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2013-12-31,6650978000.0,182924000.0,1075488000.0,4019712000.0,2608908000.0,2841214000.0,56467000.0,-1099350000.0,-95935000.0,237723000.0,,-2619000.0,0.49,-398974119.0,-257937000.0,-785086000.0,-106458000.0,-1043023000.0,2841214000.0,0.1702,71.4837,2.8313,0.49,-202393000.0,0.09111973285374571,0.035742562973445406,-0.21623959612498295,0.08726520216491564,-0.014424194456815224,-0.017602358259136218,0.9487633601673716,0.18410242415973074,1.089043385201778,0.17008464994495523,2570294000.0,101714000.0,395887000.0,-1989742000.0,640998000.0,0.49,0.49,4.432484968751853,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2014-03-31,7318899000.0,187225000.0,1256890000.0,4648934000.0,2634980000.0,,64760000.0,664028000.0,73089000.0,51267000.0,,-9387000.0,0.0,211013814.0,228134000.0,746310000.0,69708000.0,-518176000.0,0.0,,26.5352,2.4461,0.0,142797000.0,0.01945631465893479,0.007004742106702115,0.07720608167125483,0.11006915371038571,0.009986338109051649,0.02773797144570357,-0.7803526357322281,0.21504665465914088,0.0,0.14895893833191448,2706691000.0,249376000.0,437988000.0,-2504861000.0,697327000.0,0.49,0.49,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2014-06-30,7314803000.0,210224000.0,1379900000.0,4600022000.0,2685659000.0,,63483000.0,1429955000.0,221677000.0,162883000.0,,-6263000.0,0.0,210742655.0,,787566000.0,141228000.0,,0.0,,17.5886,2.3005,0.0,362905000.0,0.06064917400161376,0.022267585333466944,0.11390778031476514,0.15502375948893496,0.030305259075329848,0.08254100762606124,,0.25378770660615196,0.0,0.15234727154141606,2964582000.0,517495000.0,533288000.0,,817909000.0,0.49,0.49,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2014-09-30,7374049000.0,190636000.0,1303024000.0,4490065000.0,2852612000.0,,55869000.0,2336972000.0,456499000.0,363961000.0,,-3761000.0,1.0,209992647.0,,864837000.0,213306000.0,,0.0,,18.2939,2.492,1.0,669805000.0,0.12758868012894847,0.049357008612229185,0.15574041965415075,0.1953378132044372,0.0619061522373936,0.16002842307330967,,0.28661233425133037,0.0,0.14630275420867153,3331605000.0,815834000.0,655330000.0,,973114000.0,1.49,1.49,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2014-12-31,11573077000.0,283735000.0,2086599000.0,8054264000.0,3518813000.0,,84824000.0,-1305074000.0,-248324000.0,-239759000.0,,17144000.0,0.0,-419731332.0,407467000.0,-1346739000.0,-119365000.0,-939272000.0,0.0,0.1361,31.7976,3.4424,0.0,-367689000.0,-0.06813632892682846,-0.020716962308295367,0.18371295420796063,0.19027580045269463,-0.021457042064094104,-0.0705703883667589,0.719707847984099,0.28173804703794575,0.0,0.13597964918031688,3125881000.0,338352000.0,502941000.0,,807818000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2015-03-31,11592737000.0,324626000.0,2373774000.0,8113345000.0,3479392000.0,,121422000.0,938182000.0,60349000.0,-21456000.0,,677000.0,0.0,224301117.0,,58563000.0,104533000.0,,0.0,,46.7135,3.6491,0.0,164882000.0,-0.006166594623428461,-0.0018508140053552496,-0.022869763009735852,0.06432547202994728,0.005205759433686799,0.017344697004534126,,0.17574628377010004,0.0,0.1367552260661714,3400035000.0,265629000.0,490201000.0,,829903000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2015-06-30,11687387000.0,399917000.0,2474088000.0,7946932000.0,3740455000.0,,172958000.0,2023615000.0,277732000.0,137038000.0,,3403000.0,0.0,229664210.0,,186504000.0,214717000.0,,0.0,,41.0893,3.4522,0.0,492449000.0,0.036636719329600276,0.011725289835957345,0.0677194031473378,0.13724547406497778,0.023763395530583525,0.07425085985528498,,0.24335113151464088,0.0,0.161642188960134,3993695000.0,239784000.0,546256000.0,,959447000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2015-09-30,11747165000.0,441196000.0,2431282000.0,7828271000.0,3918894000.0,,230180000.0,3308525000.0,584564000.0,388825000.0,,6931000.0,1.0,229860900.0,,330808000.0,327861000.0,,0.0,,36.1523,3.2046,1.0,912425000.0,0.09921804468301516,0.033099475490469404,0.11752215866587075,0.1766841719497359,0.049762134097886594,0.14916555538373838,,0.27577999259488745,0.0,0.1814664033213753,4965248000.0,264648000.0,674321000.0,,1202067000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2015-12-31,12264757000.0,340411000.0,2366519000.0,8483877000.0,3780880000.0,,115937000.0,-1925274000.0,-220159000.0,-77270000.0,221909000.0,-4239000.0,0.0,-453786095.0,,546109000.0,-196776000.0,,0.0,0.1436,31.2573,3.0725,0.0,-416935000.0,-0.020437041112122047,-0.006300165588278675,0.04013454708264901,0.11435203508695385,-0.017950539093436583,-0.058229565603774784,,0.2165587859182641,0.0,0.14384460889601985,4345048000.0,427137000.0,702486000.0,,1152821000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2016-03-31,12405739000.0,392916000.0,2490089000.0,8478128000.0,3927611000.0,,154867000.0,1077632000.0,131282000.0,,,1104000.0,0.0,228112035.0,,132027000.0,104686000.0,,0.0,,24.0443,2.7978,0.0,235968000.0,,,,0.1218245189452429,0.010582360309208505,0.033425407964281596,,0.21896899869343153,0.0,0.15779195040819827,4484498000.0,,773419000.0,,1223907000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
2016-06-30,12957749000.0,440030000.0,2592264000.0,8839388000.0,4118361000.0,,145964000.0,2264467000.0,358300000.0,,,3703000.0,0.0,227997970.0,,764899000.0,212268000.0,,0.0,,17.7855,1.9722,0.0,570568000.0,,,,0.15822707948492956,0.027651407663476117,0.08700062961940441,,0.25196569435544874,0.0,0.16974737140970209,4725350000.0,,853987000.0,,1302026000.0,1.0,1.0,0.0,2.08584,27.1799,14.21,22.08015,8623.485,20.3746,4.5981,0.8775
