report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-31,962794000.0,433409000.0,190668000.0,,455280000.0,,48042000.0,751369000.0,161555000.0,114492000.0,4661000.0,43751000.0,3.35,34227000.0,66529000.0,7812000.0,22345000.0,58717000.0,0.0,,,2.2889,3.35,183900000.0,0.2514760147601476,0.1189164037166829,0.15237785961358533,0.21501419409105246,0.1677980959582216,0.3548475663328062,0.07814668957596067,0.24475324374574942,0.0,2.2731082300123777,,,,,,,,,,,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2010-10-31,986354000.0,451031000.0,191914000.0,,505072000.0,,42329000.0,1041551000.0,234833000.0,168048000.0,6263000.0,63271000.0,4.91,34221000.0,140186000.0,14317000.0,,125869000.0,0.0,2.3502,15.8244,2.5523,4.91,234833000.0,0.3327208793993728,0.17037290871228788,0.16134399563727556,0.22546471560202044,0.2380818651315856,0.46494955174707764,0.12084765892404693,0.22546471560202044,0.0,2.3501724730869036,,,,,,,,,,,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2011-01-31,997434000.0,441425000.0,167790000.0,,542775000.0,,61122000.0,270962000.0,65524000.0,45897000.0,1395000.0,19293000.0,1.33,34439000.0,55920000.0,5530000.0,7315000.0,50390000.0,0.0,,16.8201,2.8834,1.33,72839000.0,0.08455990051126157,0.04601507468163307,0.16938537507104318,0.24181988618330247,0.06569256712724852,0.12072037216157708,0.18596703596814312,0.26881629158332165,0.0,2.630818284760713,,,,,,,,,,,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2011-04-30,1058906000.0,497379000.0,182252000.0,,621504000.0,,66785000.0,589886000.0,157952000.0,111139000.0,2733000.0,47047000.0,1.61,68921000.0,112062000.0,10714000.0,14246000.0,101348000.0,0.0,,17.1954,3.2634,1.61,172198000.0,0.1788226624446504,0.10495643617091602,0.1884075906192044,0.2677669922663023,0.14916527057170326,0.2541447842652662,0.17180946827014032,0.2919174213322574,0.0,2.7290729319842857,2653768000.0,439576000.0,619864000.0,336324000.0,663770000.0,15052000.0,11.2,11.2,0.0,41.18150411905395,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2011-07-31,1084444000.0,511164000.0,177241000.0,,645807000.0,,69057000.0,902141000.0,236608000.0,167689000.0,3560000.0,68685000.0,2.44,68862000.0,180292000.0,14306000.0,20805000.0,165986000.0,0.0,,15.462,2.8696,2.44,257413000.0,0.25965807121942003,0.1546313133734891,0.18587892579984724,0.26227385741253306,0.21818369597692458,0.36637571286777626,0.18399119428116004,0.2853356626070647,0.0,2.8840053937858623,2804540000.0,492773000.0,694917000.0,443593000.0,737283000.0,13951000.0,10.29,10.29,0.0,49.811268009461685,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2011-10-31,1304450000.0,476957000.0,182161000.0,1304450000.0,571323000.0,,37408000.0,-529830000.0,-144541000.0,-102361000.0,-2619000.0,-42828000.0,-2.130000000000001,-103797000.0,-101547000.0,-10311000.0,,-111858000.0,0.0,2.618,14.1272,2.5478,-2.130000000000001,-144541000.0,-0.17916485070616797,-0.07847061980144888,0.19319593077024705,0.27280637185512335,-0.11080608685652957,-0.25299349054737863,0.21112054810033407,0.27280637185512335,0.0,2.6183266451106437,1233159000.0,222364000.0,315543000.0,205866000.0,357909000.0,5069000.0,3.249999999999999,3.249999999999999,0.0,62.24955612546854,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2012-01-31,1300825000.0,473023000.0,161875000.0,1300825000.0,552160000.0,345931000.0,49483000.0,275836000.0,56487000.0,38338000.0,1968000.0,17292000.0,0.58,65627000.0,44310000.0,8644000.0,7969000.0,35666000.0,345931000.0,,13.6572,2.3696,0.58,64456000.0,0.0694327731092437,0.029472065804393367,0.13898838440232603,0.2047847271567163,0.04342398093517576,0.0628967443165559,0.12930146898881945,0.2336750822952769,0.6265049985511446,2.922149806949807,1238033000.0,214805000.0,306506000.0,191142000.0,349526000.0,5642000.0,2.499999999999999,2.499999999999999,0.9897146421153219,54.32577100319036,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2012-04-30,1337217000.0,506532000.0,224226000.0,1337217000.0,577843000.0,286480000.0,57537000.0,591029000.0,133344000.0,90449000.0,4129000.0,40161000.0,1.38,65407000.0,98969000.0,14370000.0,15959000.0,84599000.0,286480000.0,,17.1863,2.8085,1.38,149303000.0,0.1565286764744057,0.06763973236954061,0.15303648382735874,0.2256132947791056,0.09971754771289926,0.15427565852117783,0.143138492358243,0.25261535389972406,0.49577480388271555,2.25902437719087,1239176000.0,194115000.0,281898000.0,174393000.0,326631000.0,7038000.0,2.2699999999999987,2.2699999999999987,0.8770753541458098,40.0537084398977,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2012-07-31,1792202000.0,582250000.0,334461000.0,1792202000.0,614934000.0,587977000.0,53639000.0,970901000.0,231882000.0,157143000.0,6925000.0,68602000.0,2.41,65177000.0,177575000.0,21550000.0,25519000.0,156025000.0,587977000.0,,15.5144,2.524,2.41,257401000.0,0.2555444974582638,0.08768152250694955,0.16185275326732593,0.23883176554561175,0.12938385293622037,0.1927673784677337,0.1607012455440874,0.2651155988097654,0.9561627751921344,1.7408606683589416,1307936000.0,183569000.0,277172000.0,164432000.0,326619000.0,10403000.0,2.239999999999999,2.239999999999999,1.8001922729541147,26.643468230318177,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
2012-10-31,1829515000.0,586623000.0,343684000.0,1829515000.0,669770000.0,528041000.0,41239000.0,-428188000.0,-86233000.0,-61101000.0,-1869000.0,-24631000.0,-0.9199999999999999,-131108000.0,-46456000.0,-13605000.0,,-60061000.0,528041000.0,1.7067,16.8732,2.6909,-0.9199999999999999,-86233000.0,-0.09122683906415635,-0.03339737580724946,0.14269666595047034,0.20139051071024877,-0.04713434981402175,-0.0719921590300974,0.14026782628191356,0.20139051071024877,0.7883915373934336,1.7068673548957765,1409578000.0,224829000.0,335480000.0,216229000.0,384927000.0,11153000.0,3.4499999999999993,3.4499999999999993,1.3717951715520085,30.07979915717744,1.0134325,305.28,165.03,0.37136,14676.665,28.0515,4.2819,5.1574
