report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,,,,,,,,,,,285400000.0,26100000.0,,259300000.0,0.0,,102.5614,1.8946,,,,,,,,,,,,,,,,,,,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2010-06-30,13422300000.0,3466700000.0,,8427900000.0,4994400000.0,172100000.0,1898100000.0,4209100000.0,,167900000.0,111600000.0,76700000.0,0.46,365900000.0,799500000.0,47800000.0,,751700000.0,172100000.0,,64.0903,1.6262,0.46,,0.03361765176998238,0.012509033474143776,0.03988976265710009,,,,0.17858924710745766,,0.03445859362485984,,,,,,,,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2010-09-30,13983500000.0,3741700000.0,1651900000.0,8667500000.0,5316000000.0,150000000.0,2057200000.0,6513300000.0,,287800000.0,163400000.0,133600000.0,0.79,365900000.0,1162800000.0,115800000.0,,1047000000.0,150000000.0,,52.5672,1.8519,0.79,,0.054138449962377724,0.020581399506561304,0.04418651067815086,,,,0.16074800792225138,,0.028216704288939052,2.265088685755796,,,,,,,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2010-12-31,14234100000.0,3795500000.0,1700000000.0,8876300000.0,5357800000.0,150000000.0,2040800000.0,-429500000.0,,1900000.0,-62000000.0,-7600000.0,0.0,-365600000.0,-696300000.0,-21300000.0,,-717600000.0,150000000.0,0.7325,45.6991,2.0317,0.0,,0.0003546231662249431,0.00013348227144673706,-0.0044237485448195574,,,,1.670779976717113,,0.02799656575460077,2.232647058823529,,,1340400000.0,,,,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2011-03-31,15133700000.0,4308000000.0,2067500000.0,9484800000.0,5648900000.0,150000000.0,1689700000.0,3042600000.0,,193300000.0,46500000.0,93000000.0,0.53,367200000.0,459300000.0,62200000.0,,397100000.0,150000000.0,,32.8433,1.6865,0.53,,0.03421905149675158,0.012772818279733311,0.06353119042923815,,,,0.13051337671728128,,0.02655384234098674,2.0836759371221283,13335500000.0,650900000.0,1478200000.0,259500000.0,1.78,1.78,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2011-06-30,16301000000.0,4834000000.0,2497600000.0,10387000000.0,5914000000.0,150000000.0,1872600000.0,6745300000.0,,433000000.0,92600000.0,206500000.0,1.18,367200000.0,792000000.0,117500000.0,,674500000.0,150000000.0,,25.8362,1.4539,1.18,,0.07321609739600947,0.026562787559045457,0.06419284538864098,,,,0.09999555245874905,,0.02536354413256679,1.9354580397181294,15871700000.0,916000000.0,1401000000.0,240500000.0,2.5,2.5,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2011-09-30,16354300000.0,,,16354300000.0,5593900000.0,,1879600000.0,,,714600000.0,,319600000.0,1.95,366200000.0,1151300000.0,214700000.0,,936600000.0,0.0,,13.9776,0.8492,1.95,,0.12774629507141708,0.04369493038528093,,,,,,,0.0,,,1342800000.0,1290600000.0,,3.66,3.66,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2011-12-31,17172700000.0,,,17172700000.0,5364400000.0,,2106700000.0,6567300000.0,,-298600000.0,,-154500000.0,-0.8000000000000003,-736200000.0,-810000000.0,-53700000.0,,-863700000.0,0.0,0.5499,13.3347,0.8498,-0.8000000000000003,,-0.05566326150175229,-0.017388063612594408,-0.04546769600901436,,,,-0.131515234571285,,0.0,,,1042300000.0,1144500000.0,,2.8599999999999994,2.8599999999999994,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2012-03-31,18157800000.0,,,18157800000.0,5719100000.0,,1923100000.0,,,327300000.0,,151700000.0,0.91,357800000.0,126300000.0,70700000.0,,55600000.0,0.0,,14.2947,0.9421,0.91,,0.0572292843279537,0.018025311436407496,,,,,,,0.0,,,1176300000.0,803000000.0,,3.2399999999999993,3.2399999999999993,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2012-06-30,18244800000.0,,,18244800000.0,5712100000.0,,1719900000.0,,,624500000.0,,300800000.0,1.75,357300000.0,444000000.0,208700000.0,,235300000.0,0.0,,11.0753,0.7449,1.75,,0.1093293184643126,0.034228930983074626,,,,,,,0.0,,,1367800000.0,363800000.0,,3.8099999999999996,3.8099999999999996,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2012-09-30,18692500000.0,,,18692500000.0,5862100000.0,,1750500000.0,,,858100000.0,,412600000.0,2.41,356300000.0,916600000.0,334600000.0,,582000000.0,0.0,,12.1035,0.8015,2.41,,0.14638098974770133,0.045906112077036244,,,,,,,0.0,,,1511300000.0,9200000.0,,4.27,4.27,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2013-03-31,18834100000.0,,,18834100000.0,5947900000.0,,1261400000.0,3924300000.0,,236100000.0,,101100000.0,0.67,354800000.0,384000000.0,138400000.0,,245600000.0,0.0,,17.3003,1.0898,0.67,,0.039694682156727584,0.012535772880042052,0.06016359605534745,,,,0.06258440995846393,,0.0,,,2046000000.0,1118500000.0,,5.74,5.74,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
2013-06-30,19202000000.0,4719600000.0,2572700000.0,13090400000.0,6111600000.0,,1441900000.0,8224800000.0,,527700000.0,78300000.0,242400000.0,1.0,354800000.0,1152600000.0,269700000.0,,882900000.0,0.0,,18.9138,1.1965,1.0,,0.08634400157078342,0.027481512342464327,0.06415961482346075,,,,0.1073460752845054,,0.0,1.8344929451548957,,2246400000.0,1945800000.0,,5.83,5.83,1.105375,131.875,84.6473,2.7327,62223.895,26.1907,2.9856,2.1875
