report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,3665900000.0,295600000.0,143300000.0,0.44,666400000.0,,,,0.0,,11.4336,0.8687,0.44,,,0.0806350418723915,,,,,,,,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2010-06-30,,,,,7352200000.0,507500000.0,244300000.0,0.76,666100000.0,,,,0.0,,11.5466,0.8416,0.76,,,0.06902695791735806,,,,,,,,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2010-09-30,,,,,11121700000.0,769100000.0,369900000.0,1.16,664400000.0,,,,0.0,,12.889,0.9223,1.16,,,0.06915309709846516,,,,,,,,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2010-12-31,,,,,-7176500000.0,-503900000.0,-260600000.0,-0.7499999999999998,-1333600000.0,,,,0.0,0.1613,12.3381,0.8816,-0.7499999999999998,,,0.07021528600292622,,,14963300000.0,1068300000.0,,1.61,1.61,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2011-03-31,,,,,3893500000.0,362900000.0,182500000.0,0.55,655800000.0,,,,0.0,,12.2013,0.9128,0.55,,,0.09320662642866316,,,15190900000.0,1135600000.0,,1.7200000000000002,1.7200000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2011-06-30,,,,,7766200000.0,608100000.0,295000000.0,0.93,651700000.0,,,,0.0,,11.7555,0.8942,0.93,,,0.07830084211068476,,,15604900000.0,1236200000.0,,1.8900000000000001,1.8900000000000001,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2011-09-30,,,,,3811000000.0,150700000.0,57800000.0,0.24,631400000.0,,,,0.0,,10.4181,0.7155,0.24,,,0.0395434269220677,,,8294200000.0,617800000.0,,0.9700000000000003,0.9700000000000003,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2011-12-31,,,,,37400000.0,-106200000.0,-63800000.0,-0.1299999999999999,-1302000000.0,,,,0.0,0.1501,11.8198,0.7747,-0.1299999999999999,,,-2.839572192513369,,,15508100000.0,1015500000.0,,1.5900000000000003,1.5900000000000003,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2012-03-31,,,,,4061200000.0,257600000.0,126500000.0,0.42,610000000.0,,,,0.0,,15.6448,0.9055,0.42,,,0.06342952821826062,,,15675800000.0,910200000.0,,1.46,1.46,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2012-06-30,,,,,4113100000.0,118600000.0,49100000.0,0.19,608900000.0,,,,0.0,,16.0841,0.7859,0.19,,,0.0288346988889159,,,12022700000.0,420700000.0,,0.7200000000000001,0.7200000000000001,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
