report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2010-03-31,15832000000.0,1874000000.0,2453000000.0,15832000000.0,4178000000.0,4493000000.0,727000000.0,38000000.0,2359000000.0,150000000.0,36000000.0,88000000.0,31000000.0,,,67000000.0,208000000.0,,-141000000.0,5220000000.0,,150000000.0,0.00861656294877932,0.0022738756947953513,0.01526070368800339,0.0635862653666808,0.009474482061647296,0.015960842732496275,-0.05977108944467995,0.0635862653666808,1.2494016275730013,0.763962494904199,,,,,,,,,,,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2010-06-30,15873000000.0,1864000000.0,3401000000.0,15873000000.0,4222000000.0,3595000000.0,988000000.0,34000000.0,3455000000.0,324000000.0,-18000000.0,172000000.0,58000000.0,,,499000000.0,364000000.0,,135000000.0,4583000000.0,,324000000.0,-0.004263382283278067,-0.001134001134001134,-0.005209840810419681,0.09377713458755427,0.02041202041202041,0.036797274275979557,0.03907380607814761,0.09377713458755427,1.0855045002368546,0.5480740958541606,,,,,,,,,,,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2010-09-30,14211000000.0,1738000000.0,1833000000.0,14211000000.0,4203000000.0,3598000000.0,540000000.0,28000000.0,5522000000.0,536000000.0,-1000000.0,240000000.0,52000000.0,,,560000000.0,548000000.0,,12000000.0,4138000000.0,,536000000.0,-0.00023792529145848205,-7.036802476954472e-05,-0.00018109380659181456,0.0970662803332126,0.03771726127647597,0.06426087999040882,0.0021731256791017745,0.0970662803332126,0.9845348560551986,0.9481723949809057,,,,,,,,,,,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2010-12-31,2878000000.0,333000000.0,426000000.0,2878000000.0,703000000.0,633000000.0,181000000.0,4000000.0,-4297000000.0,-386000000.0,15000000.0,-194000000.0,-130000000.0,,,-1067000000.0,-964000000.0,,-2031000000.0,814000000.0,,-386000000.0,0.021337126600284494,0.005211952744961779,-0.003490807540144287,0.08983011403304632,-0.1341209173036831,-0.2544495715227423,0.4726553409355364,0.08983011403304632,1.1578947368421053,0.7816901408450704,7039000000.0,32000000.0,624000000.0,-2025000000.0,624000000.0,306000000.0,,,1.3044871794871795,2.0392156862745097,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2011-09-30,14570000000.0,1618000000.0,1683000000.0,14570000000.0,4357000000.0,3794000000.0,545000000.0,103000000.0,4686000000.0,546000000.0,238000000.0,189000000.0,143000000.0,1.05,,531000000.0,639000000.0,,-108000000.0,4339000000.0,1.05,546000000.0,0.05462474179481294,0.01633493479752917,0.050789586000853607,0.11651728553137004,0.03747426218256692,0.06278748850045998,-0.023047375160051217,0.11651728553137004,0.995868717007115,0.9613784907902555,9366000000.0,234000000.0,1020000000.0,-1992000000.0,1020000000.0,407000000.0,,,4.253921568627451,2.506142506142506,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2011-12-31,14910000000.0,1439000000.0,1861000000.0,14910000000.0,4336000000.0,3794000000.0,732000000.0,109000000.0,5920000000.0,637000000.0,257000000.0,254000000.0,28000000.0,1.14,,686000000.0,941000000.0,,-255000000.0,4526000000.0,1.14,637000000.0,0.059271217712177124,0.017236753856472168,0.04341216216216216,0.10760135135135135,0.042723004694835684,0.07187993680884676,-0.04307432432432432,0.10760135135135135,1.043819188191882,0.7732401934443848,11831000000.0,509000000.0,1333000000.0,-2382000000.0,1333000000.0,489000000.0,,,3.395348837209302,2.7259713701431494,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2012-03-31,15188000000.0,1348000000.0,2095000000.0,15188000000.0,4366000000.0,3794000000.0,986000000.0,64000000.0,1292000000.0,139000000.0,68000000.0,65000000.0,14000000.0,0.3,,23000000.0,291000000.0,,-268000000.0,4780000000.0,0.3,139000000.0,0.015574896930829134,0.004477218856992362,0.05263157894736842,0.10758513931888544,0.009151962075322623,0.01519790072162694,-0.20743034055727555,0.10758513931888544,1.0948236371965185,0.643436754176611,7601000000.0,578000000.0,936000000.0,-2662000000.0,936000000.0,314000000.0,,,5.1068376068376065,2.9808917197452227,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2012-06-30,15421000000.0,1289000000.0,1876000000.0,15421000000.0,4384000000.0,4203000000.0,875000000.0,39000000.0,2471000000.0,291000000.0,130000000.0,130000000.0,49000000.0,0.57,229000000.0,124000000.0,589000000.0,,-465000000.0,5078000000.0,0.57,291000000.0,0.029653284671532845,0.00843006290123857,0.052610279239174426,0.11776608660461352,0.018870371571234033,0.030754597336715282,-0.18818292189397004,0.11776608660461352,1.1583029197080292,0.6871002132196162,14369000000.0,693000000.0,1613000000.0,-1096000000.0,1613000000.0,638000000.0,3.0599999999999996,3.0599999999999996,3.148171109733416,2.5282131661442007,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2012-09-30,15622000000.0,1487000000.0,2003000000.0,15622000000.0,4453000000.0,4100000000.0,848000000.0,114000000.0,3947000000.0,555000000.0,242000000.0,198000000.0,142000000.0,1.06,229000000.0,419000000.0,888000000.0,,-469000000.0,4948000000.0,1.06,555000000.0,0.054345385133617786,0.015490974267059275,0.061312389156321256,0.14061312389156322,0.035526821149660735,0.059036272736942876,-0.11882442361287053,0.14061312389156322,1.1111610150460365,0.7423864203694458,13630000000.0,697000000.0,1622000000.0,-1457000000.0,1622000000.0,647000000.0,3.0700000000000003,3.0700000000000003,3.0505548705302097,2.506955177743431,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
2012-12-31,15776000000.0,1249000000.0,2527000000.0,15776000000.0,4446000000.0,3648000000.0,965000000.0,25000000.0,-2629000000.0,-315000000.0,-155000000.0,-128000000.0,,-0.69,-228000000.0,26000000.0,-552000000.0,,-526000000.0,4613000000.0,-0.69,-315000000.0,-0.03486279802069276,-0.009825050709939148,0.05895777862305059,0.1198174210726512,-0.019967038539553752,-0.03477204989513191,0.200076074553062,0.1198174210726512,1.0375618533513271,0.4942619707162643,5081000000.0,285000000.0,670000000.0,-1728000000.0,670000000.0,265000000.0,1.24,1.24,6.885074626865672,2.5283018867924527,0.039262302,6.43,0.193,0.25855,29.166327,0.3882
