report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,24935000000.0,7221000000.0,5792000000.0,24935000000.0,5892000000.0,7652000000.0,589000000.0,1724000000.0,,492000000.0,250000000.0,114000000.0,131000000.0,0.66,377986000.0,798000000.0,283000000.0,515000000.0,8241000000.0,,25.1743,1.3684,0.66,492000000.0,0.04243041412084182,0.010026067776218167,,,0.01973130138359735,0.03481214179579707,,,1.3986761710794298,1.2467196132596685,,,,,,,,,,,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2010-09-30,26728000000.0,9192000000.0,4345000000.0,26728000000.0,8324000000.0,8839000000.0,181000000.0,4853000000.0,,1224000000.0,583000000.0,413000000.0,152000000.0,1.4,414287000.0,1696000000.0,980000000.0,716000000.0,9020000000.0,,17.8595,1.6547,1.4,1224000000.0,0.07003844305622298,0.02181233163723436,,,0.04579467225381622,0.0705719557195572,,,1.0836136472849591,2.115535097813579,,,,,,,,,,,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2010-12-31,32837000000.0,6188000000.0,5214000000.0,32837000000.0,8210000000.0,12161000000.0,694000000.0,925000000.0,,1866000000.0,938000000.0,593000000.0,263000000.0,2.17,431569000.0,2033000000.0,1597000000.0,436000000.0,12855000000.0,1.1868,13.561,1.5685,2.17,1866000000.0,0.11425091352009745,0.028565337881048817,,,0.056826141243109904,0.08858295751246142,,,1.5657734470158344,1.1868047564250095,,,,,,,,,,,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2011-03-31,32741000000.0,5747000000.0,4902000000.0,32741000000.0,8530000000.0,12247000000.0,881000000.0,1245000000.0,,805000000.0,401000000.0,174000000.0,223000000.0,0.82,484345000.0,196000000.0,428000000.0,-232000000.0,13128000000.0,,11.2545,1.5345,0.82,805000000.0,0.047010550996483,0.012247640572981888,,,0.024586909379676856,0.037168713639301874,,,1.5390386869871044,1.1723786209710323,,2172000000.0,4387000000.0,1435000000.0,4387000000.0,1294000000.0,5.05,5.05,2.992477775245042,3.3902627511591965,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2011-06-30,40537000000.0,5364000000.0,4593000000.0,40537000000.0,10651000000.0,17532000000.0,431000000.0,1269000000.0,,1400000000.0,597000000.0,438000000.0,319000000.0,1.14,523184000.0,814000000.0,1003000000.0,-189000000.0,17963000000.0,,13.3851,1.7883,1.14,1400000000.0,0.056051075016430384,0.014727286182993314,,,0.03453634950785702,0.048927098623051654,,,1.6865083090789597,1.1678641410842587,,2519000000.0,5295000000.0,731000000.0,5295000000.0,1618000000.0,5.529999999999999,5.529999999999999,3.392445703493862,3.272558714462299,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2011-09-30,40956000000.0,5412000000.0,4540000000.0,40956000000.0,10848000000.0,17675000000.0,428000000.0,1511000000.0,,2167000000.0,1041000000.0,678000000.0,429000000.0,1.91,541480000.0,1846000000.0,1685000000.0,161000000.0,18103000000.0,,11.8116,1.6694,1.91,2167000000.0,0.09596238938053098,0.02541752124230882,,,0.052910440472702415,0.07485060965078927,,,1.6687868731563422,1.1920704845814978,,2977000000.0,6238000000.0,176000000.0,6238000000.0,1883000000.0,6.039999999999999,6.039999999999999,2.9020519397242706,3.312798725438131,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2011-12-31,42648000000.0,6426000000.0,5255000000.0,42648000000.0,10828000000.0,17993000000.0,578000000.0,1202000000.0,,-1271000000.0,-544000000.0,-392000000.0,-280000000.0,-1.17,-998057000.0,-349000000.0,-629000000.0,-978000000.0,18571000000.0,1.2228,11.1482,1.3625,-1.17,-1271000000.0,-0.05024011821204285,-0.012755580566497842,,,-0.029802100919152127,-0.043232763019150314,,,1.7150905060953086,1.222835394862036,,1495000000.0,3101000000.0,-1238000000.0,3101000000.0,898000000.0,2.7,2.7,5.988713318284424,3.453229398663697,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2012-03-31,44082000000.0,7062000000.0,5888000000.0,44082000000.0,11267000000.0,18076000000.0,674000000.0,1103000000.0,,1051000000.0,541000000.0,230000000.0,259000000.0,0.93,579527000.0,728000000.0,682000000.0,46000000.0,18750000000.0,,9.9913,1.2145,0.93,1051000000.0,0.04801633087778468,0.012272582913660905,,,0.023841930946871738,0.03501349235433254,,,1.664151948167214,1.1993885869565217,,1635000000.0,3347000000.0,-960000000.0,3347000000.0,954000000.0,2.81,2.81,5.602031670152376,3.508385744234801,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2012-06-30,43508000000.0,6151000000.0,5318000000.0,43508000000.0,10962000000.0,18698000000.0,889000000.0,981000000.0,,1623000000.0,812000000.0,466000000.0,347000000.0,1.39,580062000.0,947000000.0,1309000000.0,-362000000.0,19587000000.0,,9.5551,1.2097,1.39,1623000000.0,0.07407407407407407,0.01866323434770617,,,0.037303484416659004,0.05312776195620151,,,1.7868089764641488,1.1566378337720948,,1850000000.0,3570000000.0,-1133000000.0,3570000000.0,982000000.0,3.06,3.06,5.4865546218487395,3.635437881873727,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
2012-09-30,43240000000.0,5227000000.0,4887000000.0,43240000000.0,11214000000.0,18711000000.0,526000000.0,946000000.0,,2287000000.0,1167000000.0,714000000.0,364000000.0,2.0,580930000.0,2094000000.0,2078000000.0,16000000.0,19237000000.0,,10.3051,1.306,2.0,2287000000.0,0.10406634563937935,0.026988899167437557,,,0.05289084181313598,0.07510426586975798,,,1.7154449794899234,1.069572334765705,,1976000000.0,3690000000.0,-1278000000.0,3690000000.0,1018000000.0,3.1500000000000004,3.1500000000000004,5.213279132791328,3.62475442043222,0.7022748,39.085,32.5,6.37759,29030.502,24.5813,1.7409,7.1787
