report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-09-24,3514087000.0,1299091000.0,622048000.0,3514087000.0,1542568000.0,1155787000.0,3750000.0,116615000.0,93187000.0,725295000.0,227579000.0,101552000.0,70458000.0,18295000.0,0.75,93953000.0,54147000.0,18953000.0,34720000.0,35194000.0,1159537000.0,,3.1168,26.3824,0.75,136272000.0,0.045675782202146034,0.020050158120729508,0.09714392074948813,0.3137743952460723,0.1400147526179003,0.028898544629088578,0.037582551381237964,0.04852370414796738,0.18788492958037764,0.7516926320265946,2.088409576109882,,,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2011-12-31,3942554000.0,1734092000.0,666641000.0,3942554000.0,1628146000.0,1452546000.0,0.0,531410000.0,93287000.0,1563465000.0,522454000.0,262220000.0,170197000.0,62831000.0,1.81,93983000.0,220122000.0,55659000.0,67105000.0,164463000.0,1452546000.0,,3.1062,26.6553,1.81,329325000.0,0.10453423710158671,0.04316922482228525,0.10885884877499656,0.33416418020230704,0.16771721784625815,0.06651018603676703,0.08511723989285525,0.10519135381988085,0.21063791002676746,0.8921472644345163,2.601238147668685,,,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2012-03-31,4040054000.0,1790888000.0,629751000.0,4040054000.0,1770860000.0,1454620000.0,0.0,554280000.0,93287000.0,2341482000.0,801727000.0,408290000.0,285924000.0,81725000.0,3.04,94028000.0,311620000.0,85715000.0,101712000.0,225905000.0,1454620000.0,,3.2205,26.4062,3.04,510002000.0,0.16146053330020443,0.07077232136006104,0.1221124057327795,0.34240152177125427,0.17437247008518536,0.10106053037904938,0.12658271017026923,0.09647949461067819,0.21781162528689096,0.8214201009678913,2.8438033444964756,,,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2012-06-30,4024047000.0,1795921000.0,652731000.0,4024047000.0,1851037000.0,1329235000.0,90000.0,602489000.0,93484000.0,-1456993000.0,-456162000.0,-202836000.0,-124966000.0,-43836000.0,-1.33,-187912000.0,-72513000.0,-40135000.0,-68214000.0,-112648000.0,1329325000.0,2.7504,3.4933,27.6028,-1.33,-271050000.0,-0.06751134634261768,-0.03105480626841585,0.08576980122759684,0.31308455153868275,0.13921549382872808,-0.05040597189843955,-0.06377764543784638,0.07731540233892682,0.18603383818590755,0.7181515010234804,2.751395291475355,3173249000.0,401613000.0,569226000.0,1095598000.0,312914000.0,704549000.0,4.27,4.27,1.8867743762321711,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2012-09-29,4117430000.0,1900731000.0,629924000.0,4117430000.0,1963884000.0,1329827000.0,1609000.0,631993000.0,,769810000.0,285269000.0,156573000.0,105580000.0,35202000.0,1.12,94335000.0,44855000.0,14804000.0,33424000.0,30051000.0,1331436000.0,,3.4194,25.1953,1.12,189997000.0,0.0537608127567616,0.025642208853580997,0.13715072550369573,0.3705706602927995,0.2033917460152505,0.03802687598817709,0.04751374676814391,0.03903690521037659,0.24681025188033412,0.6779606127449482,3.0173973368215847,3217764000.0,436735000.0,624247000.0,1153288000.0,307771000.0,758274000.0,4.640000000000001,4.640000000000001,1.7558771631362806,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2012-12-29,4294336000.0,1774121000.0,634865000.0,4294336000.0,2107135000.0,1329886000.0,2648000.0,459514000.0,,1652769000.0,592434000.0,320430000.0,211535000.0,74665000.0,2.24,94408000.0,229603000.0,39279000.0,69939000.0,190324000.0,1332534000.0,,2.9966,22.0694,2.24,390369000.0,0.10038986586051676,0.04925907055246725,0.1279882427610876,0.35844936588234655,0.19387464309894487,0.07461689071372152,0.09315721948827053,0.11515462838424487,0.23619090145083796,0.6323913750186865,2.7944854417868368,3307068000.0,478073000.0,682457000.0,1223268000.0,333632000.0,819318000.0,5.07,5.07,1.6263941473274113,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2013-03-30,4495888000.0,1697628000.0,673620000.0,4495888000.0,2223947000.0,1331684000.0,4513000.0,300827000.0,,2572594000.0,923795000.0,499036000.0,323459000.0,122828000.0,3.42,94443000.0,380112000.0,63480000.0,112817000.0,316632000.0,1336197000.0,,3.2817,25.4378,3.42,611853000.0,0.1454436639002638,0.07194551999516002,0.12573262629081774,0.3590908631521336,0.19398163876616364,0.11099831668404551,0.14017298176702964,0.12307888458108819,0.23783504120743498,0.6008223217549699,2.5201567649416585,3538180000.0,515608000.0,773203000.0,1345336000.0,424359000.0,921169000.0,5.45,5.45,1.450544905440804,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2013-09-28,13134086.0,4728074.0,13324625.0,,-16700925.0,,,135.0,,0.0,,,-190670.0,0.0,,,0.0,,,,0.0,,3.1395,25.9698,,,0.01141673290551272,-0.014517188329663746,,,,,,,,-0.0,0.35483730311359607,4995173000.0,640383330.0,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2013-12-28,13712800000.0,2286000000.0,961800000.0,13712800000.0,8500500000.0,3159100000.0,0.0,521100000.0,,1912400000.0,717000000.0,266200000.0,25300000.0,18900000.0,0.26,96900000.0,220300000.0,77800000.0,110400000.0,142500000.0,3159100000.0,,5.389,80.1056,0.26,376600000.0,0.002976295512028704,0.001844991540750248,0.013229449905877431,0.37492156452624975,0.13919682074879733,0.019412519689633045,0.022830971902981233,0.07451370006274838,0.19692532942898974,0.37163696253161577,2.3767935121646913,6137763000.0,560103330.0,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2014-03-29,13742700000.0,2304400000.0,953000000.0,,8558100000.0,3125500000.0,0.0,609400000.0,,2916600000.0,1031900000.0,369500000.0,73400000.0,33500000.0,0.0,109400000.0,400800000.0,120000000.0,237600000.0,280800000.0,3125500000.0,,5.3261,107.8488,0.0,607100000.0,0.008576670055269277,0.00534101741288102,0.025166289515188917,0.35380237262566,0.12668861002537202,0.02688700182642421,0.03162552637885583,0.09627648631968731,0.20815332921895358,0.3652095675441979,2.4180482686253937,7401594000.0,421968330.0,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
2014-06-28,13880200000.0,2550900000.0,1074700000.0,5186500000.0,8692900000.0,3090500000.0,2100000.0,799500000.0,,-768200000.0,-301200000.0,-68700000.0,106790670.0,14900000.0,0.74,-90700000.0,72400000.0,-26200000.0,10900000.0,46200000.0,3092600000.0,2.373,4.8027,94.9961,0.74,-57800000.0,0.012284815194008904,0.007693741444647771,-0.13901414996094766,0.39208539442853424,0.08942983598021349,-0.004949496404950938,-0.005829196894488991,-0.06014058838844051,0.07524082270242125,0.3557615985459398,2.3735926305015353,4060800000.0,205300000.0,,,,,,,,0.47658196,28.435,9.225,3.87266,1493.4917,0.6526,0.3512
