report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-03-31,52998000000.0,23128000000.0,14712000000.0,28055000000.0,24912000000.0,5971000000.0,207000000.0,,45783000000.0,,636000000.0,13000000.0,431000000.0,,,-361000000.0,216000000.0,6178000000.0,1.1263,,,,,0.025529865125240848,0.012000452847277255,0.0138916191599502,,,,,0.24799293513166346,1.5720500271886895,,,,,,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2012-06-30,48575000000.0,18526000000.0,14371000000.0,29596000000.0,18948000000.0,7396000000.0,590000000.0,3104000000.0,92530000000.0,,1817000000.0,96000000.0,1143000000.0,2.86,635051000.0,1073000000.0,440000000.0,7986000000.0,,,,2.86,,0.09589402575469706,0.037406073082861556,0.019636874527180374,,,,,0.4214692843571881,1.2891239301370816,,,,,,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2012-09-30,52230000000.0,21873000000.0,16386000000.0,31624000000.0,20573000000.0,7393000000.0,585000000.0,4430000000.0,135475000000.0,,3416000000.0,170000000.0,1991000000.0,5.37,636585000.0,2991000000.0,669000000.0,7978000000.0,,,,5.37,,0.16604287172507656,0.06540302508137086,0.02521498431444916,,,,,0.3877898216108492,1.334859025997803,,,,,,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2012-12-31,48073000000.0,17962000000.0,12482000000.0,27267000000.0,20775000000.0,6961000000.0,13000000.0,3474000000.0,-94328000000.0,6631000000.0,-1745000000.0,-33000000.0,-1065000000.0,-1.75,-634872000.0,593000000.0,-412000000.0,6974000000.0,1.439,,,-1.75,6219000000.0,-0.08399518652226233,-0.03629896199529881,0.018499279111186498,-0.0702972606225087,0.1379360555821355,0.2389635662546398,-0.06592952251717411,0.3356919374247894,1.4390322063771832,179460000000.0,4124000000.0,246000000.0,,,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2013-03-31,51151000000.0,21170000000.0,14951000000.0,29773000000.0,21344000000.0,,13000000.0,4753000000.0,41263000000.0,,1407000000.0,70000000.0,671000000.0,2.0,631288000.0,2213000000.0,245000000.0,13000000.0,,8.7743,0.2458,2.0,,0.06592016491754123,0.027506793611073097,0.034098344764074355,,,,,0.0006090704647676162,1.415958798742559,174940000000.0,4895000000.0,303000000.0,8.48,8.48,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2013-06-30,49929000000.0,20529000000.0,14005000000.0,28239000000.0,21655000000.0,,14000000.0,4220000000.0,84503000000.0,,2365000000.0,139000000.0,1185000000.0,3.0,628377000.0,,476000000.0,14000000.0,,7.7033,0.2103,3.0,,0.10921265296698222,0.04736726151134611,0.027987172053063204,,,,,0.0006465019625952436,1.4658336308461264,166913000000.0,5443000000.0,346000000.0,8.620000000000001,8.620000000000001,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2013-09-30,50983000000.0,21085000000.0,14680000000.0,28989000000.0,21550000000.0,,24000000.0,5942000000.0,128704000000.0,,2900000000.0,207000000.0,1471000000.0,4.0,623846000.0,,712000000.0,24000000.0,,9.6079,0.2011,4.0,,0.1345707656612529,0.05688170566659475,0.02253232222774739,,,,,0.0011136890951276102,1.436307901907357,160142000000.0,4927000000.0,383000000.0,7.249999999999999,7.249999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2013-12-31,49798000000.0,19237000000.0,12931000000.0,27406000000.0,21950000000.0,6131000000.0,24000000.0,5400000000.0,-82874000000.0,5526000000.0,-2946000000.0,-141000000.0,-1483000000.0,-2.9800000000000004,-1264522000.0,3814000000.0,-486000000.0,6155000000.0,1.4877,12.4107,0.2697,-2.9800000000000004,5040000000.0,-0.13421412300683372,-0.059159002369573076,0.03554794024663948,-0.06667953761131357,0.11096831198040082,0.19661981853762675,-0.06081521345657263,0.28041002277904326,1.4876653004408011,171596000000.0,3726000000.0,275000000.0,6.02,6.02,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2014-03-31,50847000000.0,21059000000.0,15164000000.0,29018000000.0,21385000000.0,,40000000.0,5326000000.0,40283000000.0,,1572000000.0,68000000.0,426000000.0,2.0,589575000.0,1398000000.0,234000000.0,40000000.0,,11.2064,0.2557,2.0,,0.07350946925415011,0.030916278246504218,0.03902390586599806,,,,,0.0018704699555763386,1.3887496702716962,170616000000.0,3891000000.0,273000000.0,6.019999999999999,6.019999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2014-06-30,50822000000.0,20605000000.0,15120000000.0,28867000000.0,21511000000.0,,38000000.0,4956000000.0,85832000000.0,,2435000000.0,134000000.0,913000000.0,4.0,580795000.0,2228000000.0,473000000.0,38000000.0,,11.8418,0.26,4.0,,0.11319789874947701,0.04791232143559876,0.028369372728120047,,,,,0.0017665380502998465,1.3627645502645502,171945000000.0,3961000000.0,268000000.0,7.019999999999999,7.019999999999999,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
2014-09-30,49650000000.0,18194000000.0,13769000000.0,27456000000.0,21746000000.0,,35000000.0,3108000000.0,126249000000.0,,3615000000.0,194000000.0,1451000000.0,6.0,575589000.0,2657000000.0,722000000.0,35000000.0,,10.1342,0.2661,6.0,,0.1662374689598087,0.07280966767371601,0.028633890169427086,,,,,0.0016094914007173733,1.3213741012419202,169490000000.0,4676000000.0,255000000.0,9.02,9.02,0.79690844,190.61,91.01,3.88801,70615.1,16.038,1.7871,0.5334
