report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,78337000000.0,72666000000.0,5671000000.0,1309000000.0,,6294000000.0,978000000.0,,6000000.0,65000000.0,7000000.0,,1188000000.0,-589000000.0,29000000.0,37000000.0,-618000000.0,1309000000.0,,38.7816,5.131,,,0.0010580144595309468,7.659215951593756e-05,0.006134969325153374,,,,-0.6319018404907976,,0.23082348792100157,,,,,,,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2010-09-30,87298000000.0,81263000000.0,6035000000.0,2008000000.0,,5701000000.0,3121000000.0,,335000000.0,169000000.0,215000000.0,0.28,1192000000.0,442000000.0,82000000.0,108000000.0,360000000.0,2008000000.0,,33.2559,3.807,0.28,,0.05550952775476388,0.0038374304107768793,0.10733739186158282,,,,0.11534764498558155,,0.3327257663628832,,,,,,,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2010-12-31,92568000000.0,86342000000.0,6226000000.0,2006000000.0,,4931000000.0,4248000000.0,,454000000.0,199000000.0,325000000.0,0.38,1194000000.0,-9000000.0,129000000.0,146000000.0,-138000000.0,2006000000.0,0.204,45.0297,4.5602,0.38,,0.07292001284934146,0.004904502635900095,0.1068738229755179,,,,-0.03248587570621469,,0.3221972373915837,,,,,,,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2011-03-31,94883000000.0,88396000000.0,6487000000.0,2005000000.0,,5548000000.0,1207000000.0,,243000000.0,45000000.0,151000000.0,0.2,1207000000.0,1303000000.0,38000000.0,35000000.0,1265000000.0,2005000000.0,,31.4573,4.62,0.2,,0.03745953445352243,0.0025610488707144587,0.20132560066280034,,,,1.048053024026512,,0.309079697857253,9554000000.0,1038000000.0,869000000.0,478000000.0,,,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2011-06-30,97572000000.0,90838000000.0,6734000000.0,2004000000.0,,6466000000.0,2397000000.0,,481000000.0,90000000.0,299000000.0,0.4,1208000000.0,1918000000.0,77000000.0,68000000.0,1841000000.0,2004000000.0,,27.4181,4.1278,0.4,,0.07142857142857142,0.0049296929446972495,0.20066750104297038,,,,0.7680433875677931,,0.2975942975942976,10973000000.0,1513000000.0,3328000000.0,503000000.0,1.26,1.26,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2011-09-30,102906000000.0,95251000000.0,7655000000.0,2002000000.0,,6376000000.0,3578000000.0,,701000000.0,134000000.0,439000000.0,0.57,1216000000.0,2012000000.0,137000000.0,107000000.0,1875000000.0,2002000000.0,,16.6221,2.767,0.57,,0.09157413455258001,0.006812042057800323,0.19591950810508665,,,,0.524035774175517,,0.26152841280209016,11430000000.0,1879000000.0,4843000000.0,468000000.0,1.55,1.55,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2011-12-31,108553000000.0,100839000000.0,7714000000.0,2001000000.0,,8679000000.0,-2491000000.0,,-561000000.0,-94000000.0,-361000000.0,-0.47,-2402000000.0,-2769000000.0,-72000000.0,-55000000.0,-2841000000.0,2001000000.0,0.2085,17.2124,3.0369,-0.47,,-0.07272491573761991,-0.005167982460180741,0.22521075873143315,,,,1.1405058209554395,,0.2593984962406015,4691000000.0,864000000.0,2140000000.0,175000000.0,0.7,0.7,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2012-03-31,111482000000.0,103145000000.0,8337000000.0,2000000000.0,,6794000000.0,1189000000.0,,195000000.0,38000000.0,118000000.0,0.15,1273000000.0,98000000.0,42000000.0,48000000.0,56000000.0,2000000000.0,,22.6953,3.7926,0.15,,0.023389708528247573,0.0017491612995819952,0.16400336417157274,,,,0.04709840201850295,,0.23989444644356483,4673000000.0,816000000.0,931000000.0,168000000.0,0.65,0.65,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2012-06-30,111816000000.0,102706000000.0,9110000000.0,1999000000.0,,8089000000.0,2472000000.0,,470000000.0,77000000.0,275000000.0,0.36,1273000000.0,-232000000.0,76000000.0,96000000.0,-308000000.0,1999000000.0,,19.297,3.3059,0.36,,0.05159165751920966,0.004203334048794448,0.1901294498381877,,,,-0.12459546925566344,,0.2194291986827662,4748000000.0,805000000.0,-1218000000.0,155000000.0,0.6100000000000001,0.6100000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2012-09-30,117658000000.0,108193000000.0,9465000000.0,1776000000.0,,8523000000.0,3668000000.0,,717000000.0,116000000.0,389000000.0,0.54,1274000000.0,373000000.0,107000000.0,146000000.0,266000000.0,1776000000.0,,18.6483,3.2893,0.54,,0.0757527733755943,0.006093933264206429,0.195474372955289,,,,0.07251908396946564,,0.18763866877971475,4838000000.0,821000000.0,-2827000000.0,137000000.0,0.5800000000000002,0.5800000000000002,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2012-12-31,133637000000.0,124048000000.0,9589000000.0,1632000000.0,,12663000000.0,-2446000000.0,,-454000000.0,-81000000.0,-260000000.0,-0.3600000000000001,-2545000000.0,1027000000.0,-77000000.0,-94000000.0,950000000.0,1632000000.0,0.2217,19.731,3.6037,-0.3600000000000001,,-0.04734591719678798,-0.0033972627341230348,0.1856091578086672,,,,-0.3883892068683565,,0.17019501512149338,4883000000.0,928000000.0,964000000.0,150000000.0,0.6900000000000002,0.6900000000000002,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2013-03-31,133324000000.0,123548000000.0,9776000000.0,1631000000.0,,6931000000.0,1290000000.0,,206000000.0,28000000.0,125000000.0,0.0,1282000000.0,-368000000.0,49000000.0,51000000.0,-417000000.0,1631000000.0,,23.685,4.3068,0.0,,0.02107201309328969,0.00154510815757103,0.15968992248062017,,,,-0.32325581395348835,,0.16683715220949263,4984000000.0,939000000.0,491000000.0,140000000.0,0.54,0.54,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2013-06-30,135907000000.0,126187000000.0,9720000000.0,1630000000.0,,6234000000.0,2627000000.0,,462000000.0,54000000.0,281000000.0,0.0,1285000000.0,164000000.0,111000000.0,102000000.0,53000000.0,1630000000.0,,29.7457,5.2667,0.0,,0.047530864197530866,0.0033993834018851126,0.17586600685192236,,,,0.020175104682146935,,0.16769547325102882,5139000000.0,931000000.0,852000000.0,117000000.0,0.18000000000000005,0.18000000000000005,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2013-09-30,140211000000.0,130158000000.0,10053000000.0,,,7362000000.0,4000000000.0,,752000000.0,79000000.0,455000000.0,0.0,1288000000.0,,176000000.0,153000000.0,,0.0,,28.2066,5.0838,0.0,,0.07480354123147319,0.005363345243953755,0.188,,,,,,0.0,5471000000.0,966000000.0,,80000000.0,-0.36,-0.36,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2013-12-31,143642000000.0,133261000000.0,10381000000.0,1903000000.0,,7728000000.0,-2482000000.0,,-349000000.0,-56000000.0,-227000000.0,0.78,-2562000000.0,1860000000.0,-87000000.0,-104000000.0,1773000000.0,1903000000.0,0.1721,31.2975,6.0407,0.78,,-0.03361911183893652,-0.0024296514946881833,0.14061240934730057,,,,-0.7143432715551974,,0.18331567286388595,5435000000.0,1071000000.0,,105000000.0,0.7800000000000001,0.7800000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2014-03-31,144066000000.0,133251000000.0,10815000000.0,,,7173000000.0,1478000000.0,,326000000.0,26000000.0,196000000.0,0.0,1311000000.0,,53000000.0,48000000.0,,0.0,,29.8417,6.207,0.0,,0.030143319463707813,0.0022628517485041577,0.22056833558863329,,,,,,0.0,5623000000.0,1191000000.0,,103000000.0,0.7800000000000001,0.7800000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2014-06-30,143401000000.0,132231000000.0,11170000000.0,,,6832000000.0,2956000000.0,,650000000.0,52000000.0,393000000.0,0.0,1312000000.0,,165000000.0,96000000.0,,0.0,,27.8314,5.9815,0.0,,0.05819158460161146,0.004532743844185187,0.2198917456021651,,,,,,0.0,5952000000.0,1379000000.0,,101000000.0,0.7800000000000001,0.7800000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2014-09-30,147444000000.0,135971000000.0,11473000000.0,,,8588000000.0,4507000000.0,,971000000.0,79000000.0,590000000.0,0.0,1313000000.0,,310000000.0,145000000.0,,0.0,,29.6943,6.3409,0.0,,0.08463348731805108,0.006585551124494724,0.21544264477479477,,,,,,0.0,6459000000.0,1598000000.0,,101000000.0,0.7800000000000001,0.7800000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2014-12-31,154642000000.0,142839000000.0,11803000000.0,,,11363000000.0,-2883000000.0,,-626000000.0,-55000000.0,-385000000.0,0.0,-2621000000.0,,-128000000.0,-90000000.0,,0.0,0.1985,29.8419,6.4027,0.0,,-0.05303736338219097,-0.004048059388781832,0.2171349288935137,,,,,,0.0,6058000000.0,1321000000.0,,102000000.0,0.0,0.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2015-03-31,160169000000.0,148011000000.0,12158000000.0,,,9011000000.0,1526000000.0,,302000000.0,29000000.0,182000000.0,0.0,1323000000.0,,55000000.0,54000000.0,,0.0,,30.8156,6.4433,0.0,,0.024839611778253,0.0018855084317189969,0.19790301441677588,,,,,,0.0,6106000000.0,1297000000.0,,105000000.0,0.0,0.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2015-06-30,163627000000.0,151204000000.0,12423000000.0,,,9017000000.0,3092000000.0,,655000000.0,62000000.0,396000000.0,0.0,1325000000.0,,125000000.0,109000000.0,,0.0,,32.3427,6.8041,0.0,,0.05272478467358931,0.00400300683872466,0.21183699870633893,,,,,,0.0,6242000000.0,1302000000.0,,115000000.0,0.0,0.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
