report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2015-09-30,316975000.0,298323000.0,96299000.0,,183225000.0,146729000.0,115054000.0,33527000.0,14874000.0,14432000.0,370000.0,0.0,44455964.0,,3292000.0,,,0.0,2.75,,,0.0,14874000.0,0.0787665438668304,0.045530404606041484,0.12543675143845498,0.2914022980513498,0.12927842578267595,0.04692483634356022,0.0811788784281621,,0.12927842578267595,0.0,3.0978826363721326,,,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2015-12-31,349573000.0,295022000.0,95855000.0,,210939000.0,106150000.0,239886000.0,72109000.0,34136000.0,38537000.0,-5432000.0,0.0,44231660.0,,5636000.0,,,0.0,,2.6547,20.9567,0.0,34136000.0,0.18269262677835774,0.11024020733866746,0.1606471407251778,0.30059695021802024,0.14230092627331314,0.09765056225738258,0.1618287751435249,,0.14230092627331314,0.0,3.0777945855719575,,,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2016-03-31,366372000.0,289345000.0,81445000.0,,236247000.0,84070000.0,365091000.0,112843000.0,53875000.0,59336000.0,-4463000.0,1.0,44347071.0,,11545000.0,,,0.0,,2.1815,14.7397,1.0,53875000.0,0.2511608613019425,0.1619556079613071,0.1625238639133805,0.3090818453481461,0.1475659493112676,0.14704999290338783,0.22804522385469445,,0.1475659493112676,0.0,3.5526428878384184,,,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2016-06-30,,,,,,,,,,-35696000.0,,,,,,,,0.0,3.5487,1.6296,10.422,,,,,,,,,,,,,,,76609000.0,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2016-09-30,412945000.0,323354000.0,78500000.0,,274946000.0,90014000.0,128484000.0,41875000.0,18240000.0,15616000.0,3014000.0,0.0,43995227.0,,3815000.0,,,0.0,,1.4001,9.0575,0.0,18240000.0,0.05679660733380373,0.03781617406676434,0.12154042526695931,0.32591606737025625,0.14196320164378445,0.04417053118454031,0.06634029954972977,,0.14196320164378445,0.0,4.11915923566879,,77793000.0,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2017-03-31,456970000.0,369466000.0,78616000.0,,307235000.0,119933000.0,115054000.0,38676000.0,12004000.0,14175000.0,-761000.0,0.0,43837505.0,,1872000.0,1520000.0,,0.0,,1.3482,11.3712,0.0,13524000.0,0.04613732159421941,0.0310195417642296,0.12320301771342153,0.3361551966902498,0.10433361725798321,0.02626868284570103,0.03907106937686136,,0.11754480504806439,0.0,4.699628574336013,,53431000.0,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2017-06-30,492422000.0,364939000.0,78696000.0,,335203000.0,113452000.0,251153000.0,85742000.0,31119000.0,36699000.0,-575000.0,0.0,44335521.0,,7611000.0,3130000.0,,0.0,,1.6919,13.3829,0.0,34249000.0,0.10948291035581424,0.07452753938694859,0.14612208494423717,0.3413934932093186,0.12390455220522949,0.06319579547623787,0.0928362812981984,,0.13636707504987,0.0,4.637325912371658,,30794000.0,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2017-09-30,549206000.0,424587000.0,92432000.0,,369453000.0,149448000.0,417705000.0,143796000.0,56515000.0,64670000.0,-484000.0,1.0,44937527.0,90890000.0,13203000.0,4932000.0,77687000.0,0.0,,2.2859,16.2405,1.0,61447000.0,0.17504256292410672,0.11775180897513865,0.15482218311966578,0.34425252271339823,0.13529883530242634,0.10290310011179776,0.15296938988179823,0.18598532457116865,0.1471062113213871,0.0,4.593506577808551,912396000.0,131160000.0,117878000.0,310089000.0,,127460000.0,1.0,1.0,0.0,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2017-12-31,,,,,,,,,,-31372000.0,,,,45775000.0,-1304000.0,-2427000.0,44471000.0,0.0,3.6726,2.6958,19.4375,,,,,,,,,,,,,,,84172000.0,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2018-03-31,731561000.0,571212000.0,158609000.0,,440211000.0,229219000.0,209871000.0,79597000.0,40828000.0,35686000.0,5662000.0,0.0,47673522.0,63979000.0,11325000.0,2430000.0,52654000.0,0.0,,3.4579,22.962,0.0,43258000.0,0.08106567078060294,0.04878062116487894,0.17003778511561865,0.3792663112102196,0.1945385498711113,0.05580942669169078,0.09274643296055755,0.25088744990970646,0.20611709097493222,0.0,3.6013845368169526,,105683000.0,,,,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2018-06-30,783230000.0,616047000.0,153971000.0,,484891000.0,214540000.0,436989000.0,161543000.0,81493000.0,70254000.0,9279000.0,1.0,47984817.0,107870000.0,21385000.0,5053000.0,86485000.0,0.0,,2.8838,19.4104,1.0,86546000.0,0.14488617029394235,0.08969778992122365,0.16076834886003996,0.36967292082867076,0.18648753172276647,0.10404734241538245,0.1680645753375501,0.19791116023515465,0.1980507518495889,0.0,4.001058640912899,,139238000.0,,,261297000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2018-09-30,852178000.0,655653000.0,166150000.0,,538963000.0,192876000.0,673567000.0,239525000.0,115466000.0,115897000.0,-3016000.0,2.0,48091185.0,142205000.0,30051000.0,,112154000.0,0.0,,1.9984,12.7355,2.0,115466000.0,0.21503702480504228,0.13600092938329786,0.1720645459174811,0.35560679190043454,0.17142466896388928,0.1354951665027729,0.21423734096774733,0.16650756346436213,0.17142466896388928,0.0,3.9461510683117664,,190465000.0,,,295764000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2018-12-31,,,,,,,,,,,,,,-124975000.0,-24153000.0,3943000.0,-149128000.0,0.0,3.0009,1.7133,12.468,,,,,,,,,,,,,,,,,,102165000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2019-03-31,1176923000.0,717532000.0,248072000.0,1176923000.0,626319000.0,226478000.0,271871000.0,86110000.0,28048000.0,19016000.0,3922000.0,0.39,49026327.0,56450000.0,10620000.0,,45830000.0,0.0,,1.7899,15.9555,0.39,28048000.0,0.030361525037560733,0.016157386676953378,0.06994493712091396,0.31673109673337724,0.10316657532432662,0.023831635544551342,0.04478229145211945,0.1685725950910542,0.10316657532432662,0.0,2.892434454513206,,,,,95341000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2019-06-30,1221694000.0,730544000.0,293778000.0,,674071000.0,176575000.0,596881000.0,196780000.0,73401000.0,52144000.0,17135000.0,1.0,49358280.0,107234000.0,22244000.0,,84990000.0,0.0,,2.6998,26.7832,1.0,73401000.0,0.07735683629766003,0.042681718990189035,0.08736079721083433,0.32968045556819536,0.12297426120114395,0.06008132969466986,0.10889209000238848,0.14239019167974856,0.12297426120114395,0.0,2.4867212657176507,,,,,93846000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2019-09-30,1337592000.0,834803000.0,335407000.0,,732012000.0,247342000.0,1007437000.0,336089000.0,139418000.0,93771000.0,24405000.0,1.0,49935638.0,175934000.0,39679000.0,,136255000.0,0.0,,3.1593,37.6749,1.0,139418000.0,0.12810035901050804,0.07010433674842553,0.09307877316397949,0.3336079576191861,0.1383888024759861,0.10423058750351377,0.19045862636131647,0.13524915205615834,0.1383888024759861,0.0,2.4889253951169774,,,,,117947000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2019-12-31,,,,,,,,,,,,,,-80618000.0,19000.0,17261000.0,-80637000.0,0.0,2.136,3.2422,31.5521,,,,,,,,,,,,,,,,,,186438000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2020-03-31,1513840000.0,955919000.0,389681000.0,,866418000.0,324072000.0,431218000.0,140008000.0,67775000.0,42248000.0,8922000.0,0.0,52172720.0,107745000.0,27053000.0,,80692000.0,0.0,,2.5622,23.9313,0.0,67775000.0,0.048761683159860486,0.02790783702372774,0.09797364674016391,0.324680324105209,0.15717108283977013,0.04477025313111029,0.07822436745312308,0.187125769332449,0.15717108283977013,0.0,2.453080853313351,,,,,221300000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2020-06-30,1605826000.0,1072998000.0,405065000.0,,924801000.0,428372000.0,763069000.0,242971000.0,97740000.0,78916000.0,13784000.0,1.0,52357838.0,167055000.0,53706000.0,,113349000.0,0.0,,4.3267,39.7445,1.0,97740000.0,0.08533295271090753,0.049143556026618074,0.1034192189697131,0.3184128827144072,0.12808802349459877,0.06086587214305909,0.10568760198139925,0.14854357862788292,0.12808802349459877,0.0,2.6489526372310617,,,,,249659000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
2020-09-30,2278296000.0,1744981000.0,382537000.0,,1032037000.0,1048109000.0,1101164000.0,351034000.0,128134000.0,122667000.0,16192000.0,2.0,52623675.0,195429000.0,90553000.0,,104876000.0,0.0,,7.8622,68.0672,2.0,128134000.0,0.11885911067141973,0.053841555267621063,0.11139757565630551,0.31878448623456634,0.11636232205193776,0.056241155670729355,0.12415640136933075,0.09524103584933762,0.11636232205193776,0.0,4.561600577199068,,,,,218280000.0,,,,,1.4306532,53.75,11.0,3.88314,2942.8572,1.1978,2.4846
