report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,5571600000.0,2219600000.0,1445100000.0,3173000000.0,2399500000.0,,19700000.0,761800000.0,3280900000.0,921000000.0,400200000.0,,122400000.0,79600000.0,1.15,176400000.0,289200000.0,60700000.0,114000000.0,228500000.0,19700000.0,,13.3034,0.8757,1.15,514200000.0,,,,0.2807156572891585,0.1219787253497516,0.07182855912125781,0.1654265873015873,0.0696455240939986,0.1567252887927093,0.008210043759116483,1.5359490692685627,,,,,,,,,,,,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2010-12-31,5399400000.0,2040000000.0,1447700000.0,2997800000.0,2404600000.0,,23500000.0,675600000.0,4490100000.0,1252800000.0,535000000.0,,161600000.0,87500000.0,1.44,176700000.0,483100000.0,87600000.0,154700000.0,395500000.0,23500000.0,1.4088,15.8807,0.9774,1.44,689700000.0,,,,0.2790138304269393,0.11915102113538674,0.09908508352779939,0.2203368889254973,0.08808267076457095,0.15360459677958174,0.009772935207518922,1.4091317261863645,,,,,,,,,,,,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2011-03-31,5490300000.0,2122100000.0,1441000000.0,2994700000.0,2499200000.0,,9100000.0,696000000.0,1128500000.0,309000000.0,123000000.0,,37000000.0,22200000.0,0.34,176900000.0,67200000.0,19500000.0,36000000.0,47700000.0,9100000.0,,16.7609,1.0099,0.34,159000000.0,,,,0.2738147984049623,0.10899424014178112,0.02240314736899623,0.049037196507594784,0.04226849800620292,0.14089499335400973,0.003641165172855314,1.4726578764746703,,,,,,,,,,,,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2011-06-30,5587300000.0,2207800000.0,1459300000.0,3014600000.0,2576900000.0,1401900000.0,9800000.0,705000000.0,2341100000.0,633300000.0,252100000.0,,73900000.0,47400000.0,0.7,177200000.0,120100000.0,46500000.0,72900000.0,73600000.0,1411700000.0,,15.0894,0.8794,0.7,325000000.0,,,,0.2705138610055102,0.1076844218529751,0.04512018327277934,0.06320513463370606,0.03143821280594592,0.13882362991756012,0.5478287865264465,1.5129171520592064,11240600000.0,,1310300000.0,3116100000.0,745300000.0,1687900000.0,394900000.0,3.63,3.63,0.8363647135493809,3.3180552038490756,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2011-09-30,5618300000.0,2290600000.0,1535800000.0,3085200000.0,2538200000.0,1403600000.0,22300000.0,800300000.0,3588200000.0,969000000.0,382000000.0,,110500000.0,73800000.0,1.11,177500000.0,277000000.0,78100000.0,109600000.0,198900000.0,1425900000.0,,10.7149,0.6028,1.11,491600000.0,,,,0.27005183657544174,0.10646006354160861,0.06799209725361764,0.09636487475088923,0.05543169277074857,0.13700462627501253,0.5617760617760618,1.4914702435212919,11547900000.0,,1292100000.0,3164100000.0,715700000.0,1665300000.0,383000000.0,3.59,3.59,0.8562421185372006,3.3736292428198436,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2011-12-31,11496700000.0,3262600000.0,2383500000.0,8544300000.0,2957500000.0,5010900000.0,34500000.0,722800000.0,-1416900000.0,-270100000.0,-309700000.0,,-4300000.0,-76400000.0,-1.3500000000000003,-346200000.0,-72200000.0,-19600000.0,-29000000.0,-91800000.0,5045400000.0,1.3368,22.381,0.6327,-1.3500000000000003,-338700000.0,,,,0.19062742607100008,0.2185757639918131,-0.026938164864700305,-0.03869847180397106,0.06478932881643024,0.2390429811560449,1.7059678782755705,1.3688273547304384,5640900000.0,,447400000.0,1641200000.0,228400000.0,636900000.0,217100000.0,0.7999999999999998,0.7999999999999998,7.921808761186999,2.060801473975127,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2012-03-31,11321000000.0,3010600000.0,2234300000.0,8278900000.0,3047900000.0,4988000000.0,34500000.0,538200000.0,1917500000.0,649700000.0,87500000.0,,97800000.0,-8400000.0,-0.03,191900000.0,-97300000.0,29200000.0,82300000.0,-126500000.0,5022500000.0,,45.1186,0.6196,-0.03,169800000.0,,,,0.3388265971316819,0.04563233376792699,0.007728999205017225,0.010842089611419508,-0.06597131681877444,0.08855280312907432,1.6478559007841465,1.3474466275791075,6429900000.0,,411900000.0,1981900000.0,54200000.0,647700000.0,277900000.0,0.4299999999999998,0.4299999999999998,7.754361587154547,1.4821878373515653,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2012-06-30,11108800000.0,3039100000.0,2322800000.0,8246700000.0,2868800000.0,4935600000.0,50000000.0,503900000.0,3922000000.0,1312400000.0,207600000.0,,195400000.0,-1400000.0,-0.1,192400000.0,-60800000.0,67800000.0,160100000.0,-128600000.0,4985600000.0,,628.3896,0.4379,-0.1,367700000.0,,,,0.33462519122896484,0.052932177460479346,0.018687887080512746,0.02643104501935221,-0.032789393166751654,0.09375318714941357,1.7378694924707194,1.3083778198725675,8010800000.0,,367400000.0,2661000000.0,-148000000.0,690400000.0,399400000.0,-0.37000000000000016,-0.37000000000000016,7.221320973348783,0.9198798197295944,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2012-09-30,10177700000.0,3481900000.0,2915800000.0,8477200000.0,1699900000.0,4486300000.0,49000000.0,540800000.0,5670300000.0,1893000000.0,-999500000.0,,291200000.0,-55400000.0,-6.5,192700000.0,64700000.0,97800000.0,230900000.0,-33100000.0,4535300000.0,,,0.3989,-6.5,-768600000.0,,,,0.3338447701179832,-0.17626933319224733,-0.0982048989457343,-0.16029958942776495,-0.005837433645486129,-0.135548383683403,2.667980469439379,1.1941491185952398,10092900000.0,,-1014100000.0,3585000000.0,-380000000.0,-569800000.0,580100000.0,-7.98,-7.98,-7.95945945945946,-1.7481468712290984,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
2012-12-31,9437200000.0,3222400000.0,2333600000.0,7992900000.0,1443800000.0,4540800000.0,39200000.0,679600000.0,-3861700000.0,-1310800000.0,-712700000.0,,-199700000.0,-196700000.0,-0.6799999999999997,-384200000.0,497800000.0,-70400000.0,-169300000.0,427400000.0,4580000000.0,1.4086,,0.4506,-0.6799999999999997,-882000000.0,,,,0.33943599968925603,0.18455602454877384,-0.07552028143940999,-0.11831402104983565,-0.11067664500090633,0.22839682005334438,3.1721845130904556,1.3808707576276997,7648100000.0,,-1417100000.0,2544300000.0,139200000.0,-1113100000.0,384700000.0,-7.31,-7.31,-4.1146348037013745,-3.6836495970886407,1.3068259,44.27,22.78,4.10798,6201.498,12.268,4.9256,1.157
