report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,207513085000.0,202757389000.0,4755677000.0,157983266000.0,41102389000.0,6840902000.0,,240140000.0,531384000.0,155795000.0,0.45,526631000.0,-5549416000.0,199085655000.0,10.3853,0.45,,0.05049543945057665,0.0011572282297282602,,,41.86273689319102,,,,,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2010-06-30,207318712000.0,202231964000.0,5086744000.0,152250912000.0,46472435000.0,6267039000.0,,577958000.0,1100317000.0,351898000.0,1.08,527013000.0,-8567389000.0,198723347000.0,4.8236,1.08,,0.11362042202241748,0.0027877753745643567,,,39.06690547037555,,,,,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2010-09-30,206106774000.0,201532697000.0,4574077000.0,153003935000.0,45388432000.0,5875510000.0,,83011000.0,1738916000.0,224340000.0,0.06,486209000.0,-8652572000.0,198392367000.0,14.3073,0.06,,0.018148142237220756,0.0004027572621169647,,,43.3732022875872,,,,,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2010-12-31,205307049000.0,200295471000.0,5011578000.0,163543504000.0,33615856000.0,4342327000.0,,-370727000.0,-1095846000.0,-239264000.0,-0.6500000000000001,-1051368000.0,16076883000.0,197159360000.0,11.5264,-0.6500000000000001,,-0.07397410556116257,-0.0018057197831526962,,,39.34077450256187,530382000.0,2274771000.0,0.94,0.94,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2011-03-31,203354808000.0,198147721000.0,5207087000.0,161886309000.0,32316856000.0,3871476000.0,,174694000.0,594595000.0,99711000.0,0.32,531964000.0,758919000.0,194203165000.0,17.3582,0.32,,0.03354927620759937,0.00085906009166009,,,37.295932447450944,464936000.0,2337982000.0,0.8099999999999999,0.8099999999999999,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2011-06-30,200356599000.0,195345360000.0,5002561000.0,160765277000.0,30765693000.0,4144734000.0,,169046000.0,1186022000.0,90126000.0,0.3,530865000.0,1367137000.0,191530970000.0,72.9707,0.3,,0.033791891793023617,0.000843725641400012,,,38.286583611874,56024000.0,2423687000.0,0.02999999999999986,0.02999999999999986,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2011-09-30,197544000000.0,192762000000.0,4774000000.0,156810000000.0,31745000000.0,3523000000.0,,122000000.0,1777000000.0,44000000.0,0.21,526000000.0,2074000000.0,188555000000.0,11.2432,0.21,,0.025555090071219103,0.0006175839306686105,,,39.49622957687474,95013000.0,2461771000.0,0.17999999999999985,0.17999999999999985,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2011-12-31,193345000000.0,188094000000.0,5243000000.0,154393000000.0,29573000000.0,2794000000.0,,167260000.0,-1156617000.0,94163000.0,0.35,-1065829000.0,-1119056000.0,183966000000.0,11.0571,0.35,,0.031901583063131796,0.0008650857275854043,,,35.087926759488845,633000000.0,2401000000.0,1.18,1.18,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2012-03-31,191692000000.0,186647000000.0,5038000000.0,155588000000.0,27123000000.0,3043000000.0,,112000000.0,666000000.0,67000000.0,0.21,510000000.0,555000000.0,182711000000.0,13.7363,0.21,,0.0222310440651052,0.0005842706007553784,,,36.266574037316396,570306000.0,2472405000.0,1.0699999999999998,1.0699999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2012-06-30,189079000000.0,184141000000.0,4931000000.0,155476000000.0,24493000000.0,3020000000.0,,403000000.0,1323000000.0,235000000.0,0.79,499000000.0,1025000000.0,179969000000.0,8.6544,0.79,,0.0817278442506591,0.0021313842362187235,,,36.497465017237886,804260000.0,2609383000.0,1.56,1.56,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
