report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,52580045000.0,5220131000.0,5515903000.0,36303374000.0,15902175000.0,18097952000.0,769967000.0,339050000.0,4157317000.0,921994000.0,494508000.0,222482000.0,235681000.0,0.6,824787000.0,738960000.0,1054040000.0,-315080000.0,18867919000.0,,13.173,1.6951,0.6,921994000.0,0.031096878257219532,0.009404860722351987,0.11894883166234377,0.22177620806880977,0.017535055361782213,0.026516868202887227,-0.07578926504762566,0.22177620806880977,1.1864992681818682,0.9463783173852042,,,,,,,,,,,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2010-06-30,53374490000.0,5524262000.0,5935450000.0,36759705000.0,16240289000.0,18134554000.0,881638000.0,266278000.0,8364736000.0,1873045000.0,1004702000.0,441151000.0,483183000.0,1.21,828752000.0,1414962000.0,1935716000.0,-520754000.0,19016192000.0,,13.0225,1.6674,1.21,1873045000.0,0.06186478578059787,0.01882363653498141,0.12011162097644205,0.22392159178723633,0.03509251329614578,0.0531262606724704,-0.06225587992257018,0.22392159178723633,1.1709269459428955,0.9307233655409447,,,,,,,,,,,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2010-09-30,54894780000.0,6609452000.0,5994412000.0,37558008000.0,16962276000.0,18198225000.0,348399000.0,1258735000.0,13684648000.0,3331560000.0,1821940000.0,666289000.0,925110000.0,2.19,833220000.0,3526601000.0,2893812000.0,632789000.0,18546624000.0,,14.6245,1.8254,2.19,3331560000.0,0.10741129315429132,0.033189676686927246,0.13313751292689444,0.24345237086112848,0.06068992352278304,0.09382323868100674,0.04624079479428335,0.24345237086112848,1.0934042106141888,1.1026022235375212,,,,,,,,,,,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2010-12-31,55032000000.0,5883000000.0,6472000000.0,37748000000.0,16909000000.0,18154000000.0,1297000000.0,447000000.0,-8750701000.0,-2324599000.0,-1346150000.0,-434922000.0,-617974000.0,-1.6400000000000001,-1649759000.0,-1689523000.0,-1797568000.0,-3487091000.0,19451000000.0,0.909,15.7169,1.8454,-1.6400000000000001,-2324599000.0,-0.07961144952392217,-0.024461222561418812,0.15383339003355273,0.2656471750091793,-0.04224085986335223,-0.06393286578657865,0.3984927607513958,0.2656471750091793,1.1503341415814063,0.9089925834363412,17456000000.0,1975000000.0,3802000000.0,-3690136000.0,3802000000.0,895000000.0,2.36,2.36,5.11599158337717,4.24804469273743,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2011-03-31,55019000000.0,5240000000.0,6037000000.0,37472000000.0,17172000000.0,18133000000.0,1243000000.0,410000000.0,4012000000.0,854000000.0,422000000.0,222000000.0,231000000.0,0.49,853939000.0,998000000.0,1086000000.0,-88000000.0,19376000000.0,,16.449,2.3386,0.49,854000000.0,0.02457488935476357,0.007670077609553063,0.10518444666001994,0.21286141575274178,0.015521910612697433,0.023366531684360294,-0.02193419740777667,0.21286141575274178,1.128348474260424,0.8679807851581911,17310683000.0,1902492000.0,3734006000.0,-3463056000.0,3734006000.0,894518000.0,2.25,2.25,5.189065041673741,4.174321813535334,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2011-06-30,56023000000.0,5502000000.0,5699000000.0,37959000000.0,17689000000.0,18554000000.0,857000000.0,437000000.0,8533000000.0,1990000000.0,1026000000.0,421000000.0,580000000.0,1.2,858000000.0,2389000000.0,2126000000.0,263000000.0,19411000000.0,,16.8043,3.3587,1.2,1990000000.0,0.05800214822771214,0.018313906788283384,0.1202390718387437,0.23321223485292394,0.03552112525212859,0.05363881401617251,0.030821516465486934,0.23321223485292394,1.0973486347447565,0.9654325320231619,17478947000.0,1923790000.0,3850961000.0,-2679302000.0,3850961000.0,874367000.0,2.2399999999999998,2.2399999999999998,5.040560005671312,4.404284470937261,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2011-09-30,57343000000.0,6495000000.0,5657000000.0,38628000000.0,18340000000.0,18733000000.0,137000000.0,1516000000.0,13961000000.0,3642000000.0,1942000000.0,638000000.0,1123000000.0,2.26,861000000.0,4598000000.0,3115000000.0,1483000000.0,18870000000.0,,16.9034,6.3738,2.26,3642000000.0,0.1058887677208288,0.033866382993565036,0.13910178353986105,0.2608695652173913,0.06351254730307099,0.09787691480784735,0.10622448248692787,0.2608695652173913,1.028898582333697,1.1481350539155029,17755299000.0,2043850000.0,4161401000.0,-1829091000.0,4161401000.0,846078000.0,2.3099999999999996,2.3099999999999996,4.534530558338406,4.918460236526656,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2011-12-31,59267000000.0,6272000000.0,6577000000.0,40607000000.0,18285000000.0,18647000000.0,859000000.0,1315000000.0,-8849000000.0,-2255000000.0,-1187000000.0,-424000000.0,-715000000.0,-1.4,-1708939000.0,-7753505000.0,-5362767000.0,-13116272000.0,19506000000.0,0.9536,17.1131,15.4202,-1.4,-2255000000.0,-0.06491659830462128,-0.020028008841345098,0.1341394507853995,0.25483105435642445,-0.038048154959758385,-0.05967029186843428,1.4822321166233472,0.25483105435642445,1.0667760459392945,0.9536262733769195,17657000000.0,2203000000.0,4231000000.0,-11458272000.0,4231000000.0,857000000.0,2.55,2.55,4.610257622311511,4.936989498249709,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2012-03-31,59874000000.0,6041000000.0,6317000000.0,41093000000.0,18406000000.0,19051000000.0,1029000000.0,1044000000.0,3604000000.0,766000000.0,368000000.0,211000000.0,200000000.0,0.42,877000000.0,568000000.0,1231000000.0,-663000000.0,20080000000.0,,17.6799,16.2084,0.42,766000000.0,0.01999348038683038,0.006146240438253666,0.10210876803551609,0.21254162042175362,0.012793533086147576,0.019903341474822013,-0.18396226415094338,0.21254162042175362,1.0909486037161795,0.9563083742282729,17249000000.0,2149000000.0,4143000000.0,-12033272000.0,4143000000.0,846000000.0,2.4799999999999995,2.4799999999999995,4.846729423123341,4.897163120567376,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
2012-06-30,60897000000.0,6373000000.0,6088000000.0,41691000000.0,18831000000.0,19459000000.0,453000000.0,659000000.0,7785000000.0,1909000000.0,991000000.0,431000000.0,529000000.0,1.13,879000000.0,1757000000.0,2356000000.0,-599000000.0,19912000000.0,,18.1713,17.4673,1.13,1909000000.0,0.05262598906059158,0.01627337964103322,0.12729608220937702,0.2452151573538857,0.03134801385946762,0.04927341713341765,-0.07694283879254978,0.2452151573538857,1.0574053422547927,1.0468134034165573,16501000000.0,2114000000.0,4062000000.0,-12895272000.0,4062000000.0,856000000.0,2.4099999999999997,2.4099999999999997,4.902018709995076,4.7453271028037385,0.39489028,100.835,83.09,5.45446,109084.555,25.1289,2.6659,3.8587
