report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-10-01,7988000000.0,5156000000.0,3116000000.0,5065000000.0,2923000000.0,1614000000.0,1783000000.0,2697000000.0,231000000.0,,46000000.0,4000000.0,0.31,487000000.0,245000000.0,358000000.0,189000000.0,-113000000.0,1614000000.0,,3.4949,0.4828,0.31,420000000.0,,,,0.08565072302558398,0.028918377566349525,0.050914701344500775,-0.041898405635891735,0.1557285873192436,0.5521724255901471,1.6546854942233633,,,,,,,,,,,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2010-12-31,8658000000.0,5826000000.0,3178000000.0,5882000000.0,2776000000.0,2365000000.0,2528000000.0,5417000000.0,438000000.0,299000000.0,92000000.0,29000000.0,0.61,487000000.0,752000000.0,560000000.0,379000000.0,192000000.0,2365000000.0,,5.926,0.6373,0.61,817000000.0,0.10770893371757925,0.03453453453453453,0.055196603285951634,0.08085656267306628,0.05058905058905059,0.08519743240614666,0.03544397267860439,0.1508214879084364,0.8519452449567724,1.8332284455632473,,,,,,,,,,,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2011-04-01,8280000000.0,5504000000.0,3105000000.0,5793000000.0,2487000000.0,2352000000.0,2201000000.0,8112000000.0,616000000.0,392000000.0,151000000.0,58000000.0,0.83,475000000.0,947000000.0,685000000.0,567000000.0,262000000.0,2352000000.0,,8.7774,0.6285,0.83,1183000000.0,0.15761962203457983,0.04734299516908213,0.048323471400394474,0.07593688362919132,0.07439613526570048,0.12729902872494317,0.03229783037475345,0.14583333333333334,0.9457177322074789,1.7726247987117552,,,,,,,,,,,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2011-07-01,9225000000.0,6425000000.0,3463000000.0,6762000000.0,2463000000.0,2952000000.0,2677000000.0,-5255000000.0,-479000000.0,-180000000.0,-75000000.0,-23000000.0,-0.6599999999999999,-982000000.0,-680000000.0,-760000000.0,-381000000.0,-1440000000.0,2952000000.0,1.8553,13.5942,0.6332,-0.6599999999999999,-860000000.0,-0.0730816077953715,-0.01951219512195122,0.03425309229305423,0.091151284490961,-0.05192411924119241,-0.08845798707294553,0.27402473834443386,0.1636536631779258,1.1985383678440926,1.8553277505053423,10971000000.0,,806000000.0,-1099000000.0,1560000000.0,214000000.0,1.09,1.09,1.8923076923076922,3.7663551401869158,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2011-09-30,8732000000.0,5998000000.0,3039000000.0,6307000000.0,2425000000.0,2924000000.0,2474000000.0,2811000000.0,236000000.0,140000000.0,69000000.0,12000000.0,0.32,433000000.0,160000000.0,218000000.0,182000000.0,-58000000.0,2924000000.0,,8.5788,0.3885,0.32,418000000.0,0.0577319587628866,0.01603298213467705,0.04980434009249377,0.0839558875844895,0.02702702702702703,0.044120396335763694,-0.02063322660974742,0.1487015297047314,1.2057731958762887,1.9736755511681474,11085000000.0,651000000.0,811000000.0,-1044000000.0,1558000000.0,237000000.0,1.1,1.1,1.876765083440308,3.4219409282700424,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2011-12-30,9171000000.0,5400000000.0,2372000000.0,5706000000.0,3465000000.0,2925000000.0,1825000000.0,6007000000.0,841000000.0,703000000.0,127000000.0,6000000.0,1.61,436000000.0,879000000.0,361000000.0,373000000.0,518000000.0,2925000000.0,,8.5788,0.3885,1.61,1214000000.0,0.2028860028860029,0.07665467233671355,0.11703013151323456,0.1400033294489762,0.09170210445970996,0.13161189358372458,0.086232728483436,0.2020975528550025,0.8441558441558441,2.2765598650927488,11675000000.0,1055000000.0,1214000000.0,-718000000.0,1955000000.0,272000000.0,2.1000000000000005,2.1000000000000005,1.4961636828644502,4.463235294117647,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2012-03-30,10064000000.0,6368000000.0,3154000000.0,6390000000.0,3674000000.0,2862000000.0,1638000000.0,10457000000.0,2051000000.0,1849000000.0,185000000.0,20000000.0,4.16,445000000.0,1817000000.0,497000000.0,597000000.0,1320000000.0,2862000000.0,,6.146,0.9084,4.16,2648000000.0,0.5032661948829613,0.1837241653418124,0.17681935545567562,0.1961365592426126,0.20379570747217807,0.31380048959608325,0.12623123266711295,0.25322750310796593,0.778987479586282,2.019023462270133,14020000000.0,2512000000.0,2649000000.0,340000000.0,3420000000.0,306000000.0,5.430000000000001,5.430000000000001,0.8368421052631579,8.656862745098039,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2012-06-29,10106000000.0,6310000000.0,3396000000.0,6609000000.0,3497000000.0,2863000000.0,1707000000.0,-4336000000.0,-20000000.0,170000000.0,-140000000.0,-18000000.0,0.40000000000000036,-873000000.0,406000000.0,-440000000.0,-338000000.0,-34000000.0,2863000000.0,1.8581,3.6744,0.704,0.40000000000000036,-358000000.0,0.04861309694023449,0.01682169008509796,-0.03920664206642067,0.004612546125461255,-0.0019790223629527013,-0.0031446540880503146,0.007841328413284132,0.08256457564575646,0.8187017443523019,1.858068315665489,14939000000.0,2862000000.0,3108000000.0,1746000000.0,3922000000.0,241000000.0,6.490000000000001,6.490000000000001,0.7299847016828149,12.896265560165975,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2012-09-28,9522000000.0,5749000000.0,2753000000.0,5987000000.0,3483000000.0,2867000000.0,1894000000.0,3732000000.0,624000000.0,582000000.0,55000000.0,18000000.0,1.42,409000000.0,1132000000.0,263000000.0,212000000.0,869000000.0,2867000000.0,,3.6739,0.7654,1.42,836000000.0,0.16709732988802756,0.06112161310649023,0.15594855305466238,0.16720257234726688,0.06553245116572148,0.09826771653543306,0.23285101822079313,0.2240085744908896,0.8231409704277921,2.0882673447148563,15860000000.0,3304000000.0,3496000000.0,2673000000.0,4340000000.0,227000000.0,7.590000000000001,7.590000000000001,0.6605990783410138,15.400881057268723,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
2012-12-28,8742000000.0,5017000000.0,2643000000.0,5817000000.0,,2815000000.0,1383000000.0,7400000000.0,1179000000.0,1074000000.0,111000000.0,25000000.0,2.73,394000000.0,1976000000.0,427000000.0,430000000.0,1549000000.0,2815000000.0,,3.4971,0.6923,2.73,1609000000.0,,0.12285518188057652,0.14513513513513512,0.15932432432432433,0.13486616334934798,0.41882770870337477,0.20932432432432432,0.21743243243243243,,1.8982217177449867,17253000000.0,3675000000.0,3834000000.0,3704000000.0,4735000000.0,211000000.0,8.71,8.71,0.5945089757127772,18.170616113744074,1.6064736,459.84,63.19,2.95166,88705.58,45.0282,136.1795,8.8194
