report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-04,1449325000.0,965317000.0,294343000.0,540569000.0,908756000.0,145497000.0,2291000.0,403996000.0,784399000.0,427847000.0,196555000.0,172249000.0,14456000.0,14373000.0,0.79,228909000.0,134824000.0,35706000.0,99118000.0,147788000.0,,8.7359,1.322,0.79,196555000.0,0.1895437279093618,0.11884773946492333,0.21959359968587416,0.5454456214248106,0.25058038064811405,0.13561830507305125,0.1860357921676712,0.12636171132293642,0.25058038064811405,0.16262671168058312,3.2795649972990693,,,,,,,,,,,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2010-10-03,1791611000.0,1188103000.0,401282000.0,724275000.0,1067336000.0,147287000.0,2397000.0,433915000.0,1286485000.0,703622000.0,354667000.0,319589000.0,20019000.0,21049000.0,1.45,229069000.0,390018000.0,53959000.0,336059000.0,149684000.0,,5.8868,1.3002,1.45,354667000.0,0.29942679718476656,0.17838079806386542,0.24842030804867526,0.5469336991880978,0.27568685215917793,0.19795982498432974,0.2914224910026129,0.26122263376564825,0.27568685215917793,0.1402407489300464,2.9607682377978577,,,,,,,,,,,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2010-12-31,1810355000.0,1176618000.0,363704000.0,688167000.0,1122188000.0,150182000.0,2450000.0,397737000.0,1608650000.0,872749000.0,413468000.0,379730000.0,,14782000.0,1.73,226807000.0,566800000.0,76044000.0,490756000.0,152632000.0,3.2351,6.7093,1.6261,1.73,413468000.0,0.3383835863509501,0.20975444042742997,0.23605507723867838,0.5425350449134367,0.25702794268485996,0.22839056428159119,0.32433441583909883,0.30507319802318716,0.25702794268485996,0.13601286059020415,3.2350977718144427,,,,,,,,,,,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2011-04-03,1874698000.0,1250797000.0,333469000.0,647266000.0,1227432000.0,151748000.0,2417000.0,420267000.0,377161000.0,192409000.0,78499000.0,94872000.0,6176000.0,5486000.0,0.41,232080000.0,19618000.0,22131000.0,-2513000.0,154165000.0,,7.7405,2.0317,0.41,78499000.0,0.07729308018692685,0.05060655102848566,0.2515424447384539,0.5101508374407746,0.2081312755030345,0.04187287765816147,0.05681758139312694,-0.006662937048104126,0.2081312755030345,0.12559962588558876,3.7508643981899366,4056695000.0,966440000.0,1043189000.0,2196627000.0,923420000.0,1043189000.0,,4.38,4.38,0.1477824248530228,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2011-07-03,1998295000.0,1343428000.0,352986000.0,664357000.0,1333938000.0,154821000.0,2475000.0,455398000.0,787680000.0,407495000.0,180141000.0,183930000.0,11492000.0,13325000.0,0.8,231266000.0,121583000.0,44467000.0,77116000.0,157296000.0,,7.1286,1.756,0.8,180141000.0,0.137884969166483,0.09204346705566495,0.23350853138330285,0.5173357200893764,0.22869820231566118,0.09014735061640049,0.12079995493664979,0.09790270160471258,0.22869820231566118,0.11791852394938895,3.8058959845432963,4059976000.0,978121000.0,1026775000.0,2176275000.0,901418000.0,1026775000.0,,4.39,4.39,0.1531942246353875,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2011-10-02,1962677000.0,1555824000.0,293021000.0,592790000.0,1369887000.0,156839000.0,2605000.0,1095163000.0,1132069000.0,577340000.0,239664000.0,238675000.0,17560000.0,15084000.0,1.05,228141000.0,214558000.0,66623000.0,147935000.0,159444000.0,,6.5279,1.3619,1.05,239664000.0,0.17422969923796636,0.121606866539935,0.21083078858267473,0.509986582089961,0.21170441024354522,0.12211077013690995,0.1567116601965173,0.13067666370159417,0.21170441024354522,0.11639208197464462,5.309598970722235,3905560000.0,897207000.0,911772000.0,2049993000.0,713294000.0,911772000.0,,3.9899999999999998,3.9899999999999998,0.17487266553480477,,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2011-12-31,2188639000.0,1099887000.0,373684000.0,683579000.0,1505060000.0,159956000.0,2573000.0,573736000.0,-867849000.0,-463551000.0,-262590000.0,-143668000.0,-11534000.0,-163151000.0,-0.6099999999999999,-464667000.0,-81995000.0,-47124000.0,-129119000.0,162529000.0,2.9433,6.8418,1.7709,-0.6099999999999999,-262590000.0,-0.09545665953516803,-0.06564262082508811,0.16554492774664717,0.5341378511699616,0.30257567848784755,-0.11997867167678178,-0.15746685784087086,0.14878049061530288,0.30257567848784755,0.1079883858450826,2.9433612356964707,1429061000.0,373809000.0,235714000.0,713693000.0,93419000.0,235714000.0,23694000.0,1.65,1.65,0.6895178054761278,9.948256942685912,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2012-04-01,2238148000.0,1120991000.0,375822000.0,689455000.0,1548693000.0,161803000.0,2431000.0,533396000.0,396668000.0,190926000.0,46410000.0,33564000.0,6059000.0,7680000.0,0.15,231153000.0,11169000.0,27074000.0,-15905000.0,164234000.0,,10.3526,2.1919,0.15,46410000.0,0.021672468332974967,0.014996327320624015,0.08461484163078443,0.4813244325229159,0.11699960672401101,0.02073589414104876,0.027093974232410372,-0.04009650387729789,0.11699960672401101,0.10604684078768355,2.982771099084141,1448568000.0,312501000.0,203625000.0,712210000.0,80027000.0,203625000.0,23577000.0,1.3900000000000001,1.3900000000000001,0.8065512584407613,8.63659498663952,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2012-07-01,2434670000.0,1316808000.0,425871000.0,749240000.0,1685430000.0,165283000.0,2522000.0,589056000.0,944952000.0,500432000.0,203851000.0,144951000.0,12382000.0,48285000.0,0.63,230399000.0,113261000.0,57804000.0,55457000.0,167805000.0,,7.9059,1.6486,0.63,203851000.0,0.08600238514800378,0.059536199977820406,0.15339509308409316,0.529584571491462,0.21572630144176635,0.08372839029519401,0.10999738295467115,0.058687637043998,0.21572630144176635,0.0995621295455759,3.0920349119803885,1605840000.0,273522000.0,227335000.0,805147000.0,58368000.0,227335000.0,24467000.0,1.2200000000000002,1.2200000000000002,0.7381397497085799,9.2914946662852,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
2012-09-30,2463291000.0,1311267000.0,349253000.0,678048000.0,1785243000.0,167556000.0,3863000.0,485692000.0,1408346000.0,760632000.0,311963000.0,233592000.0,18536000.0,62669000.0,1.02,230003000.0,362233000.0,91132000.0,271101000.0,171419000.0,,7.3134,1.5554,1.02,311963000.0,0.1308460528902788,0.0948292345484151,0.16586265022941807,0.5400888702066111,0.22151019706805003,0.1266448016089045,0.15943632574251454,0.19249602015413825,0.22151019706805003,0.09601998159354216,3.754490297864299,1882117000.0,268439000.0,299634000.0,988439000.0,181534000.0,299634000.0,25443000.0,1.1900000000000002,1.1900000000000002,0.5720946221056356,11.776677278622804,1.8339465,344.915,65.77,3.28969,48471.305,87.4861,10.8426,15.1947
