report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-03,18110000000.0,6019000000.0,2719000000.0,15269000000.0,2841000000.0,,,1509000000.0,273230000.0,2210000000.0,-8000000.0,71000000.0,15000000.0,-0.03,-88000000.0,90000000.0,0.0,,,0.5713,-0.03,-0.0028159098908834917,-0.0004417448923246825,-0.0036199095022624436,0.0,2.2136815005516732,,,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2010-07-03,34246000000.0,5596000000.0,,28418000000.0,2914000000.0,,,2382000000.0,274091000.0,4919000000.0,148000000.0,140000000.0,33000000.0,0.25,399000000.0,374000000.0,0.0,,296.6393,0.4328,0.25,0.05078929306794784,0.004321672604099749,0.030087416141492174,0.0,,,,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2010-10-02,32026000000.0,5146000000.0,,26054000000.0,2986000000.0,,,1982000000.0,274799000.0,7398000000.0,26000000.0,207000000.0,12000000.0,0.09,1250000000.0,564000000.0,0.0,,,0.5556,0.09,0.008707300736771601,0.0008118403796915007,0.003514463368477967,0.0,,,,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2011-01-01,15282000000.0,5047000000.0,,12310000000.0,2972000000.0,,,931000000.0,,-4002000000.0,-80000000.0,-148000000.0,-66000000.0,-0.02999999999999997,-577000000.0,-635000000.0,0.0,3.5243,76.7484,0.6271,-0.02999999999999997,-0.026917900403768506,-0.005234916895694281,0.01999000499750125,0.0,,10525000000.0,86000000.0,270000000.0,0.28,0.28,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2011-04-02,15059000000.0,5399000000.0,,12007000000.0,3052000000.0,,,1022000000.0,276520000.0,2479000000.0,29000000.0,62000000.0,15000000.0,0.09,54000000.0,95000000.0,0.0,,61.9673,0.7061,0.09,0.009501965923984272,0.0019257586825154392,0.011698265429608713,0.0,,10794000000.0,123000000.0,261000000.0,0.4,0.4,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2011-07-02,,,,,,,,,,5207000000.0,119000000.0,123000000.0,58000000.0,0.38,217000000.0,195000000.0,0.0,,47.9967,0.5815,0.38,,,0.02285385058574995,,,11082000000.0,94000000.0,244000000.0,0.53,0.53,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2011-10-01,11431000000.0,6145000000.0,,8632000000.0,,2473000000.0,,1517000000.0,,8021000000.0,261000000.0,184000000.0,108000000.0,0.83,660000000.0,289000000.0,2473000000.0,,14.4455,0.4159,0.83,,0.022832648062286763,0.032539583593068196,,,11705000000.0,329000000.0,221000000.0,1.27,1.27,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2011-12-31,10402000000.0,5263000000.0,,8070000000.0,,2313000000.0,,871000000.0,,-4432000000.0,-167000000.0,-123000000.0,-86000000.0,-0.5099999999999998,132000000.0,-176000000.0,2313000000.0,2.7349,21.4258,0.4599,-0.5099999999999998,,-0.016054604883676216,0.037680505415162456,,,11275000000.0,242000000.0,246000000.0,0.7900000000000003,0.7900000000000003,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2012-03-31,10334000000.0,5190000000.0,,7841000000.0,,2013000000.0,,628000000.0,,2856000000.0,118000000.0,55000000.0,57000000.0,0.4,-254000000.0,91000000.0,2013000000.0,,24.38,0.6926,0.4,,0.011418618153667506,0.04131652661064426,,,11652000000.0,331000000.0,239000000.0,1.1,1.1,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2012-06-30,10445000000.0,5278000000.0,,7707000000.0,,1809000000.0,,898000000.0,,5875000000.0,290000000.0,108000000.0,139000000.0,0.98,25000000.0,183000000.0,1809000000.0,,16.6404,0.5754,0.98,,0.027764480612733365,0.04936170212765958,,,12320000000.0,502000000.0,224000000.0,1.7000000000000002,1.7000000000000002,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
