report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,36465000000.0,11320000000.0,8095000000.0,,14666000000.0,,635000000.0,1887000000.0,,-32000000.0,-113000000.0,147000000.0,-47000000.0,-0.2,562000000.0,982000000.0,,,,635000000.0,,,0.1595,-0.2,-32000000.0,-0.007704895677076231,-0.003098861922391334,,,-0.0008775538187302893,-0.002091366577347886,,0.043297422610118645,1.3983940704138358,,,,,,,,,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2010-06-30,36477000000.0,11348000000.0,7914000000.0,,15051000000.0,,523000000.0,2001000000.0,,889000000.0,470000000.0,285000000.0,229000000.0,0.83,567000000.0,1770000000.0,,,,523000000.0,,,0.1394,0.83,889000000.0,0.031227160985981,0.012884831537681279,,,0.024371521780848206,0.057082316681648905,,0.03474852169291077,1.433914581753854,,,,,,,,,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2010-09-30,37276000000.0,11877000000.0,8213000000.0,,15400000000.0,,523000000.0,2352000000.0,,1460000000.0,762000000.0,430000000.0,407000000.0,1.34,567000000.0,2622000000.0,,,,523000000.0,,,0.1272,1.34,1460000000.0,0.04948051948051948,0.02044210752226634,,,0.039167292627964374,0.09169126420900583,,0.03396103896103896,1.4461220017046146,,,,,,,,,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2010-12-31,37621000000.0,13518000000.0,8784000000.0,,15025000000.0,,822000000.0,3334000000.0,,-441000000.0,-795000000.0,-288000000.0,-14000000.0,-1.4,-1128000000.0,-2329000000.0,,,,822000000.0,1.5389,40.4037,0.1592,-1.4,-441000000.0,-0.05291181364392679,-0.02113181467797241,,,-0.011722176444007337,-0.02782861109358238,,0.05470881863560732,1.5389344262295082,324000000.0,1876000000.0,,1876000000.0,574000000.0,0.5700000000000003,0.5700000000000003,0.43816631130063965,3.268292682926829,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2011-03-31,39592000000.0,15056000000.0,10406000000.0,,15224000000.0,,312000000.0,4133000000.0,,244000000.0,98000000.0,144000000.0,40000000.0,0.17,573000000.0,2058000000.0,,,,312000000.0,,31.7531,0.1887,0.17,244000000.0,0.006437204414083027,0.0024752475247524753,,,0.006162861184077591,0.015705458290422244,,0.020493956910141883,1.446857582164136,535000000.0,2152000000.0,,2152000000.0,571000000.0,0.9400000000000003,0.9400000000000003,0.1449814126394052,3.768826619964974,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2011-06-30,39526000000.0,14687000000.0,10231000000.0,39526000000.0,15982000000.0,6762000000.0,861000000.0,4107000000.0,,1534000000.0,842000000.0,,489000000.0,1.47,573000000.0,2954000000.0,,,,7623000000.0,,20.9501,0.1447,1.47,1534000000.0,0.05268426980352897,0.02130243384101604,,,0.038809897282801195,0.06498623173056556,,0.47697409585784006,1.4355390479913988,907000000.0,2797000000.0,,2797000000.0,,1.5800000000000005,1.5800000000000005,2.7254200929567394,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2011-09-30,41683000000.0,15870000000.0,11683000000.0,41683000000.0,16654000000.0,6781000000.0,867000000.0,2829000000.0,,3513000000.0,2045000000.0,,1178000000.0,3.58,572000000.0,4328000000.0,,,,7648000000.0,,6.3301,0.0896,3.58,3513000000.0,0.12279332292542332,0.04906076817887388,,,0.08427896264664252,0.14455600362110113,,0.4592290140506785,1.3583839767183086,2190000000.0,4850000000.0,,4850000000.0,,3.8200000000000003,3.8200000000000003,1.5769072164948454,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2011-12-31,42783000000.0,15972000000.0,12708000000.0,42783000000.0,16423000000.0,6732000000.0,1009000000.0,1024000000.0,,-1611000000.0,-895000000.0,,-481000000.0,-1.5399999999999996,-1149000000.0,-5302000000.0,,,,7741000000.0,1.2568,5.6053,0.093,-1.5399999999999996,-1611000000.0,-0.05449674237350058,-0.02091952411004371,,,-0.037655143398078676,-0.06666942559178944,,0.47135115386957316,1.2568460812086875,2090000000.0,3680000000.0,,3680000000.0,,3.680000000000001,3.680000000000001,2.103532608695652,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2012-03-31,42634000000.0,15824000000.0,13076000000.0,42634000000.0,15959000000.0,6460000000.0,1143000000.0,1559000000.0,,-244000000.0,-432000000.0,,95000000.0,-0.78,551000000.0,1704000000.0,,,,7603000000.0,,9.3256,0.1079,-0.78,-244000000.0,-0.02706936524844915,-0.010132757892761645,,,-0.005723131772763522,-0.010355657414480943,,0.4764082962591641,1.210156011012542,1560000000.0,3192000000.0,,3192000000.0,,2.7300000000000004,2.7300000000000004,2.381892230576441,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
2012-06-30,41188000000.0,14033000000.0,10798000000.0,41188000000.0,16577000000.0,6460000000.0,582000000.0,1295000000.0,,1117000000.0,399000000.0,,547000000.0,0.72,556000000.0,2994000000.0,,,,7042000000.0,,8.1202,0.0968,0.72,1117000000.0,0.024069493877058576,0.009687287559483344,,,0.02711954938331553,0.04729243405732673,,0.42480545333896363,1.2995925171328024,1117000000.0,2775000000.0,,2775000000.0,,1.9800000000000006,1.9800000000000006,2.5376576576576575,,0.6747796,242.5598,99.0,4.24293,71504.945,30.4536,2.0928,0.5828
