report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-03-31,14715000000.0,2185000000.0,981000000.0,8035000000.0,6680000000.0,,,916000000.0,,1357000000.0,155000000.0,,24000000.0,41000000.0,0.0,427800350.0,141000000.0,31000000.0,110000000.0,0.0,1.6443,,,0.0,155000000.0,,,,0.11422254974207811,0.010533469249065579,0.023203592814371257,0.08106116433308769,0.11422254974207811,0.0,2.2273190621814476,,,,,,,,,,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2017-06-30,14784000000.0,2397000000.0,1008000000.0,8126000000.0,6658000000.0,,,986000000.0,,2653000000.0,207000000.0,,93000000.0,33000000.0,0.0,427846563.0,333000000.0,63000000.0,270000000.0,0.0,,0.3044,,0.0,207000000.0,,,,0.07802487749717302,0.014001623376623376,0.031090417542805646,0.1017715793441387,0.07802487749717302,0.0,2.3779761904761907,,,,,,,,,,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2017-09-30,15000000000.0,2440000000.0,1119000000.0,8065000000.0,6935000000.0,,,1054000000.0,,4487000000.0,658000000.0,,169000000.0,284000000.0,0.0,428001869.0,845000000.0,86000000.0,759000000.0,0.0,,0.3414,,0.0,658000000.0,,,,0.14664586583463338,0.043866666666666665,0.09488103821196828,0.1691553376420771,0.14664586583463338,0.0,2.1805183199285074,,,,,,,,,,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2017-12-31,14600000000.0,2673000000.0,1351000000.0,8258000000.0,6342000000.0,,,1487000000.0,,-3067000000.0,-822000000.0,,-93000000.0,146000000.0,0.0,-855887322.0,67000000.0,-66000000.0,1000000.0,0.0,1.9785,,,0.0,-822000000.0,,,,0.2680143462667101,-0.0563013698630137,-0.12961210974456008,-0.00032605151613955004,0.2680143462667101,0.0,1.9785344189489267,5430000000.0,,198000000.0,1140000000.0,198000000.0,193000000.0,0.0,0.0,0.0,1.0259067357512954,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2018-03-31,14776000000.0,2699000000.0,1557000000.0,8716000000.0,6060000000.0,,,1379000000.0,,765000000.0,-394000000.0,,,-89000000.0,0.0,428450384.0,-22000000.0,39000000.0,-61000000.0,0.0,1.9785,,,0.0,-394000000.0,,,,-0.515032679738562,-0.02666486193827829,-0.06501650165016502,-0.07973856209150326,-0.515032679738562,0.0,1.7334617854849068,4838000000.0,,-351000000.0,969000000.0,-351000000.0,,0.0,0.0,-0.0,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2018-06-30,26470000000.0,3374000000.0,2646000000.0,18050000000.0,8413000000.0,,,757000000.0,,3338000000.0,-164000000.0,-198000000.0,137000000.0,-163000000.0,0.0,477662016.0,-29000000.0,153000000.0,-182000000.0,0.0,,,,0.0,-164000000.0,-0.02353500534886485,-0.007480166225916131,-0.059316956261234274,-0.04913121629718394,-0.006195693237627503,-0.01949364079400927,-0.05452366686638706,-0.04913121629718394,0.0,1.2751322751322751,5523000000.0,,-722000000.0,517000000.0,-722000000.0,,0.0,0.0,-0.0,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2018-09-30,25888000000.0,3276000000.0,3102000000.0,17483000000.0,8399000000.0,,350000000.0,811000000.0,,6581000000.0,485000000.0,132000000.0,291000000.0,31000000.0,0.0,508128988.0,863000000.0,209000000.0,654000000.0,350000000.0,,,,0.0,485000000.0,0.01571615668531968,0.005098887515451175,0.020057741984500835,0.0736970065339614,0.018734548825710753,0.05543490684649674,0.09937699437775414,0.0736970065339614,0.041671627574711274,1.056092843326886,7617000000.0,,-895000000.0,412000000.0,-895000000.0,,0.0,0.0,-0.39106145251396646,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2018-12-31,26024000000.0,3435000000.0,3625000000.0,18157000000.0,7863000000.0,,339000000.0,636000000.0,,-1540000000.0,564000000.0,12000000.0,144000000.0,176000000.0,0.0,-909287017.0,659000000.0,-23000000.0,636000000.0,339000000.0,0.9476,,,0.0,564000000.0,0.0015261350629530714,0.00046111281893636643,-0.007792207792207792,-0.36623376623376624,0.02167230249000922,0.06876371616678859,-0.412987012987013,-0.36623376623376624,0.04311331552842427,0.9475862068965517,9144000000.0,,491000000.0,1047000000.0,491000000.0,,0.0,0.0,0.6904276985743381,,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2019-03-31,25568000000.0,3324000000.0,3238000000.0,17762000000.0,7804000000.0,10803000000.0,350000000.0,546000000.0,,2923000000.0,490000000.0,225000000.0,222000000.0,77000000.0,0.44,509139988.0,388000000.0,118000000.0,270000000.0,11153000000.0,,26.5153,,0.44,490000000.0,0.028831368528959508,0.008800062578222778,0.0769757098871023,0.16763599042080055,0.019164580725907383,0.02584797172548399,0.09237085186452275,0.16763599042080055,1.4291389031266017,1.0265596046942558,11302000000.0,171000000.0,1375000000.0,1378000000.0,1375000000.0,794000000.0,0.44,0.44,8.111272727272727,1.7317380352644836,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
2019-06-30,26520000000.0,4539000000.0,3657000000.0,18616000000.0,7904000000.0,,430000000.0,964000000.0,,5755000000.0,1218000000.0,581000000.0,495000000.0,225000000.0,1.15,507248920.0,882000000.0,247000000.0,635000000.0,430000000.0,,15.1508,,1.15,1218000000.0,0.07350708502024292,0.021907993966817495,0.10095569070373588,0.21164205039096437,0.045927601809954754,0.14614830813534918,0.1103388357949609,0.21164205039096437,0.054402834008097166,1.2411812961443807,13719000000.0,950000000.0,2757000000.0,2195000000.0,2757000000.0,1152000000.0,1.5899999999999999,1.5899999999999999,0.15596663039535727,2.3932291666666665,1.5664842,219.82,90.51,4.98192,50940.707,53.9626,10.7245,2.8967
