report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-02,7000000000.0,4778000000.0,1957000000.0,2569000000.0,4431000000.0,325000000.0,,2826000000.0,,1866000000.0,1233000000.0,1118000000.0,,110000000.0,4.82,232000000.0,1579000000.0,,376000000.0,,325000000.0,,7.0752,0.9887,4.82,1609000000.0,0.2523132475739111,0.15971428571428573,,,,0.17614285714285716,0.2592514718250631,,,0.0733468742947416,2.4414920797138477,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2010-07-02,7328000000.0,4720000000.0,2023000000.0,2619000000.0,4709000000.0,294000000.0,,2734000000.0,,2401000000.0,1525000000.0,1382000000.0,,138000000.0,5.93,233000000.0,1942000000.0,737000000.0,510000000.0,1205000000.0,294000000.0,2.3332,5.008,0.7026,5.93,2035000000.0,0.29348056912295606,0.18859170305676856,,,,0.20810589519650655,0.3048171097341595,,,0.062433637715013805,2.333168561542264,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2010-10-01,7655000000.0,4961000000.0,2174000000.0,2744000000.0,4911000000.0,262000000.0,,2858000000.0,,437000000.0,211000000.0,197000000.0,,14000000.0,0.84,234000000.0,390000000.0,200000000.0,150000000.0,190000000.0,262000000.0,,5.0263,0.6464,0.84,361000000.0,0.04011402972917939,0.02573481384715872,,,,0.027563683866753754,0.040788710612797215,,,0.053349623294644676,2.28196872125115,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2010-12-31,7843000000.0,5120000000.0,2144000000.0,2684000000.0,5159000000.0,231000000.0,,3110000000.0,,912000000.0,451000000.0,422000000.0,,28000000.0,1.8,235000000.0,895000000.0,450000000.0,301000000.0,445000000.0,231000000.0,,7.1667,0.7874,1.8,752000000.0,0.08179879821670867,0.05380594160397807,,,,0.05750350631136045,0.0836734693877551,,,0.04477611940298507,2.388059701492537,,3119000000.0,3420000000.0,5616000000.0,,4757000000.0,,13.39,13.39,0.04856001681732184,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2011-04-01,7839000000.0,5153000000.0,1995000000.0,2523000000.0,5316000000.0,200000000.0,,3230000000.0,,1322000000.0,609000000.0,568000000.0,,41000000.0,2.42,235000000.0,1208000000.0,625000000.0,452000000.0,583000000.0,200000000.0,,10.6183,0.9306,2.42,1061000000.0,0.10684725357411588,0.07245822171195306,,,,0.0776884806735553,0.11040609137055837,,,0.03762227238525207,2.582957393483709,,2569000000.0,2796000000.0,5072000000.0,2423000000.0,4209000000.0,,10.99,10.99,0.047517224994060345,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2011-07-01,8118000000.0,5487000000.0,2170000000.0,2630000000.0,5488000000.0,150000000.0,,3490000000.0,,-880000000.0,-490000000.0,-461000000.0,,-29000000.0,-1.9700000000000006,-469000000.0,-838000000.0,-497000000.0,-301000000.0,-1335000000.0,150000000.0,2.5286,11.7289,0.8939,-1.9700000000000006,-791000000.0,-0.08400145772594753,-0.05678738605567874,,,,-0.06035969450603597,-0.08691025186236254,,,0.027332361516034985,2.5285714285714285,,726000000.0,781000000.0,1791000000.0,-117000000.0,1383000000.0,,3.0899999999999994,3.0899999999999994,0.10845986984815618,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2011-09-30,8467000000.0,5926000000.0,2354000000.0,2744000000.0,5723000000.0,100000000.0,,3675000000.0,,541000000.0,259000000.0,239000000.0,,19000000.0,1.01,237000000.0,352000000.0,134000000.0,158000000.0,218000000.0,100000000.0,,7.8235,0.6116,1.01,417000000.0,0.04176131399615586,0.02822723514822251,,,,0.03058934687610724,0.04447879100120213,,,0.017473353136466887,2.5174171622769754,,768000000.0,829000000.0,1895000000.0,-89000000.0,1439000000.0,,3.26,3.26,0.06949270326615706,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2011-12-30,7807000000.0,5398000000.0,1552000000.0,1884000000.0,5923000000.0,50000000.0,,3924000000.0,,1189000000.0,421000000.0,384000000.0,,34000000.0,1.62,237000000.0,730000000.0,253000000.0,298000000.0,477000000.0,50000000.0,,10.5172,0.7744,1.62,719000000.0,0.06483201080533513,0.04918662738567952,,,,0.053925963878570515,0.07048384396450695,,,0.008441668073611346,3.4780927835051547,,730000000.0,799000000.0,2172000000.0,-57000000.0,1406000000.0,,3.079999999999999,3.079999999999999,0.03556187766714083,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2012-03-30,14510000000.0,7445000000.0,4535000000.0,7094000000.0,7416000000.0,2013000000.0,500000000.0,3377000000.0,,2166000000.0,963000000.0,867000000.0,,88000000.0,3.61,240000000.0,1938000000.0,393000000.0,486000000.0,1545000000.0,2513000000.0,,9.4866,0.9602,3.61,1449000000.0,0.11690938511326861,0.059751895244658855,,,,0.06636802205375603,0.09698861919629369,,,0.3388619201725998,1.64167585446527,,1029000000.0,1153000000.0,3016000000.0,905000000.0,1794000000.0,,4.27,4.27,1.4007803790412485,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2012-06-29,14206000000.0,7141000000.0,4032000000.0,6537000000.0,7669000000.0,1955000000.0,,3208000000.0,,-258000000.0,128000000.0,122000000.0,,4000000.0,0.33999999999999986,-469000000.0,47000000.0,-63000000.0,-117000000.0,-16000000.0,1955000000.0,1.7711,4.9166,0.6352,0.33999999999999986,11000000.0,0.01590820185161038,0.008587920596930875,,,,0.009010277347599606,0.013300083125519535,,,0.25492241491719914,1.7710813492063493,,1612000000.0,1771000000.0,3638000000.0,2224000000.0,2596000000.0,,6.58,6.58,0.7530816640986132,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2012-09-28,14172000000.0,7186000000.0,3695000000.0,6135000000.0,8037000000.0,1898000000.0,,3537000000.0,,1193000000.0,592000000.0,519000000.0,,59000000.0,2.06,252000000.0,936000000.0,382000000.0,313000000.0,554000000.0,1898000000.0,,5.0195,0.6872,2.06,905000000.0,0.06457633445315417,0.03662150719729043,,,,0.04177250917301722,0.05958731756416709,,,0.2361577703123056,1.9447902571041948,,1892000000.0,2104000000.0,4290000000.0,2560000000.0,3084000000.0,,7.630000000000001,7.630000000000001,0.6154345006485085,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2012-12-28,13929000000.0,7175000000.0,3326000000.0,5682000000.0,8247000000.0,1840000000.0,,3816000000.0,,2252000000.0,1070000000.0,854000000.0,,192000000.0,3.43,249000000.0,1708000000.0,628000000.0,622000000.0,1080000000.0,1840000000.0,,4.851,0.6454,3.43,1692000000.0,0.10355280708136291,0.061310934022542896,,,,0.07681814918515328,0.10607712897789234,,,0.22311143446101614,2.1572459410703546,,2362000000.0,2753000000.0,5353000000.0,3163000000.0,4057000000.0,,9.440000000000001,9.440000000000001,0.453537096376633,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2013-03-29,13927000000.0,7340000000.0,3226000000.0,5504000000.0,8423000000.0,1783000000.0,,4060000000.0,,3313000000.0,1487000000.0,1245000000.0,,207000000.0,5.0,248000000.0,2435000000.0,816000000.0,931000000.0,1619000000.0,1783000000.0,,6.0952,0.7406,5.0,2418000000.0,0.14780956903716017,0.08939470094061894,,,,0.10677102032024126,0.14569860866157164,,,0.21168229846847916,2.2752634841909485,,2740000000.0,3277000000.0,6500000000.0,3237000000.0,5026000000.0,,10.83,10.83,0.3547552725825706,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2013-06-28,14036000000.0,7598000000.0,3973000000.0,6143000000.0,7893000000.0,1725000000.0,,4309000000.0,,-2395000000.0,-1883000000.0,-1638000000.0,,-216000000.0,-7.49,-503000000.0,-1960000000.0,-874000000.0,-633000000.0,-2834000000.0,1725000000.0,1.9124,14.9765,0.9561,-7.49,-2516000000.0,-0.20752565564424175,-0.11669991450555714,,,,-0.134155029923055,-0.1957787481804949,,,0.2185480805777271,1.9124087591240877,,980000000.0,1266000000.0,4363000000.0,419000000.0,2499000000.0,,3.0,3.0,0.6902761104441777,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2013-09-27,14806000000.0,8261000000.0,4427000000.0,6553000000.0,8253000000.0,1668000000.0,500000000.0,4869000000.0,,1088000000.0,542000000.0,495000000.0,,37000000.0,2.0,242000000.0,680000000.0,136000000.0,312000000.0,544000000.0,2168000000.0,,15.6205,0.9876,2.0,854000000.0,0.05997818974918211,0.033432392273402674,,,,0.03660678103471566,0.0520103636887055,,,0.2626923542954077,1.8660492432798734,,956000000.0,1216000000.0,4258000000.0,409000000.0,2448000000.0,,2.94,2.94,0.8856209150326797,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2013-12-27,15282000000.0,8288000000.0,4620000000.0,6703000000.0,8579000000.0,1610000000.0,500000000.0,4655000000.0,,,,,,,,,,,,,2110000000.0,,18.7672,1.2919,,,,,,,,,,,,0.2459494113533046,1.793939393939394,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2014-03-28,15332000000.0,8306000000.0,3747000000.0,6564000000.0,8768000000.0,2344000000.0,,4569000000.0,,3289000000.0,1439000000.0,1300000000.0,,105000000.0,5.0,242000000.0,2104000000.0,467000000.0,936000000.0,1637000000.0,2344000000.0,,20.4098,1.3891,5.0,2375000000.0,0.14826642335766424,0.08478998173754239,,,,0.09385598747717193,0.12949964002879769,,,0.26733576642335766,2.216706698692287,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2014-06-27,15499000000.0,8720000000.0,3845000000.0,6657000000.0,8842000000.0,2313000000.0,,4804000000.0,,-17000000.0,-190000000.0,-178000000.0,,-7000000.0,-1.0,-242000000.0,32000000.0,25000000.0,-4000000.0,7000000.0,2313000000.0,2.2679,13.5052,1.4434,-1.0,-194000000.0,-0.020131192038000453,-0.011484611910445836,,,,-0.012258855410026453,-0.01703272075302555,,,0.2615923999095227,2.267880364109233,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2014-10-03,15652000000.0,8990000000.0,3918000000.0,6689000000.0,8963000000.0,2281000000.0,,5159000000.0,,1149000000.0,469000000.0,423000000.0,,37000000.0,1.0,240000000.0,827000000.0,160000000.0,289000000.0,667000000.0,2281000000.0,,14.4248,1.4596,1.0,758000000.0,0.04719401985942207,0.027025300281114235,,,,0.02996422182468694,0.04171113482746354,,,0.2544906839227937,2.2945380296069424,,,,,,,,,,,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2015-01-02,15139000000.0,8660000000.0,3289000000.0,6057000000.0,9082000000.0,2250000000.0,,4902000000.0,,2259000000.0,935000000.0,861000000.0,,57000000.0,3.0,239000000.0,1070000000.0,306000000.0,579000000.0,764000000.0,2250000000.0,,16.5113,1.6886,3.0,1514000000.0,0.09480290684871173,0.056872977079067306,,,,0.061761014598057995,0.08250970702435581,,,0.24774278793217352,2.6330191547582853,,2406000000.0,2653000000.0,6680000000.0,3075000000.0,4453000000.0,,8.0,8.0,0.5052773411183472,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2015-04-03,15176000000.0,8429000000.0,3218000000.0,5950000000.0,9226000000.0,2203000000.0,,4812000000.0,,3291000000.0,1356000000.0,1245000000.0,,85000000.0,5.0,238000000.0,1754000000.0,456000000.0,864000000.0,1298000000.0,2203000000.0,,13.7835,1.4323,5.0,2220000000.0,0.13494472143941036,0.08203742751713232,,,,0.0893516078017923,0.1186455507918453,,,0.23878170388033818,2.6193287756370416,,2351000000.0,2570000000.0,6682000000.0,2736000000.0,4298000000.0,,8.0,8.0,0.5125639832480223,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2015-07-03,15181000000.0,8517000000.0,3242000000.0,5962000000.0,9219000000.0,2156000000.0,255000000.0,5024000000.0,,-2478000000.0,-1149000000.0,-1064000000.0,,-67000000.0,-3.0,-480000000.0,-1409000000.0,-310000000.0,-618000000.0,-1719000000.0,2411000000.0,2.6291,12.5803,1.2648,-3.0,-1767000000.0,-0.11541381928625664,-0.07008760951188986,,,,-0.07568671365522693,-0.09879621668099742,,,0.26152511118342553,2.6270820481184454,,1465000000.0,1611000000.0,4221000000.0,1010000000.0,2725000000.0,,6.0,6.0,0.8847706422018349,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2015-10-02,15261000000.0,8655000000.0,3231000000.0,5925000000.0,9336000000.0,2109000000.0,255000000.0,5081000000.0,,955000000.0,322000000.0,283000000.0,,31000000.0,1.0,234000000.0,545000000.0,151000000.0,236000000.0,394000000.0,2364000000.0,,13.8641,1.3132,1.0,558000000.0,0.030312767780634103,0.01854400104842409,,,,0.021099534761811152,0.02752136752136752,,,0.2532133676092545,2.6787372330547816,,1325000000.0,1464000000.0,4027000000.0,737000000.0,2525000000.0,,6.0,6.0,0.9362376237623763,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2016-01-01,15466000000.0,8948000000.0,3245000000.0,5909000000.0,9557000000.0,2062000000.0,255000000.0,5363000000.0,,1861000000.0,573000000.0,534000000.0,,24000000.0,2.0,234000000.0,1143000000.0,300000000.0,488000000.0,843000000.0,2317000000.0,,12.2984,1.043,2.0,1061000000.0,0.055875274667782776,0.034527350316824,,,,0.03704901073322126,0.0482566953006569,,,0.24244009626451815,2.757473035439137,,998000000.0,1102000000.0,3629000000.0,816000000.0,2072000000.0,,5.0,5.0,1.1182432432432432,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2016-04-01,14947000000.0,8740000000.0,2781000000.0,5338000000.0,9609000000.0,2000000000.0,0.0,5887000000.0,,753000000.0,88000000.0,74000000.0,,6000000.0,0.0,234000000.0,,,,,2000000000.0,,13.1004,0.8548,0.0,88000000.0,0.007701113539390155,0.004950826252759751,,,,0.00588746905733592,0.007580325609440951,,,0.2081382037673015,3.142754404890327,,-173000000.0,-166000000.0,1091000000.0,,-60000000.0,,0.0,0.0,-33.333333333333336,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2016-07-01,32862000000.0,12584000000.0,6949000000.0,21717000000.0,11145000000.0,13660000000.0,,8151000000.0,,-134000000.0,-517000000.0,-649000000.0,266000000.0,-150000000.0,-2.0,-460000000.0,295000000.0,133000000.0,430000000.0,162000000.0,13660000000.0,1.8109,44.7413,0.8333,-2.0,-87000000.0,-0.0582323912068192,-0.019749254458036637,,,,-0.01573245694114783,-0.020842572062084258,,,1.2256617317182592,1.8109080443229242,,242000000.0,466000000.0,3435000000.0,,1620000000.0,,1.0,1.0,8.432098765432098,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2016-09-30,29010000000.0,9123000000.0,3919000000.0,18235000000.0,10775000000.0,13055000000.0,,4077000000.0,,1335000000.0,232000000.0,-366000000.0,236000000.0,95000000.0,-1.0,285000000.0,440000000.0,184000000.0,508000000.0,256000000.0,13055000000.0,,,1.1633,-1.0,740000000.0,-0.03396751740139211,-0.012616339193381593,,,,0.007997242330230955,0.009735627360469996,,,1.211600928074246,2.327889767797908,,-407000000.0,376000000.0,3815000000.0,,1802000000.0,,-1.0,-1.0,7.2447280799112095,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2016-12-30,28975000000.0,9606000000.0,4088000000.0,18243000000.0,10732000000.0,12944000000.0,,4940000000.0,,2868000000.0,777000000.0,-131000000.0,441000000.0,181000000.0,0.0,285000000.0,1500000000.0,330000000.0,1022000000.0,1170000000.0,12944000000.0,,,1.2185,0.0,1799000000.0,-0.012206485277674246,-0.00452113891285591,,,,0.026816220880069026,0.03281804358844399,,,1.20611256056653,2.349804305283757,,-1072000000.0,580000000.0,4822000000.0,,2540000000.0,,-3.0,-3.0,5.096062992125984,,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2017-03-31,29448000000.0,10313000000.0,4309000000.0,18417000000.0,11031000000.0,12907000000.0,,5652000000.0,,4391000000.0,1302000000.0,117000000.0,646000000.0,237000000.0,0.0,295000000.0,2498000000.0,453000000.0,1582000000.0,2045000000.0,12907000000.0,,,1.3397,0.0,2884000000.0,0.010606472667935817,0.003973105134474328,,,,0.04421352893235534,0.0543905088144373,,,1.170066177137159,2.3933627291715016,,-1029000000.0,1794000000.0,8460000000.0,3633000000.0,5336000000.0,1589000000.0,-3.0,-3.0,2.4188530734632683,1.1290119572057897,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
2017-06-30,29860000000.0,11056000000.0,4344000000.0,18442000000.0,11418000000.0,12918000000.0,,6354000000.0,,-2522000000.0,-357000000.0,777000000.0,-476000000.0,-141000000.0,2.0,-569000000.0,-1001000000.0,-389000000.0,-984000000.0,-1390000000.0,12918000000.0,2.5451,64.9977,1.3515,2.0,-1341000000.0,0.06805044666316343,0.026021433355659745,,,,-0.011955793703951775,-0.014669625246548324,,,1.1313715186547557,2.5451197053406998,,397000000.0,1954000000.0,6072000000.0,2081000000.0,4082000000.0,847000000.0,1.0,1.0,3.164625183733464,2.3069657615112162,1.7958215,319.62,28.83,8.70769,104115.53,27.2126,3.9857,9.6996
