report_date,total_assets,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,12721500000.0,1319900000.0,1255300000.0,,4396100000.0,,12800000.0,,,229700000.0,,49400000.0,71900000.0,1.1,118400000.0,303700000.0,,,,4396100000.0,,15.5857,,1.1,229700000.0,,,,0.018056046849821168,0.052250858715679804,,,1.0514618019596909,,,,,,,,,,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2010-06-30,12693500000.0,1273000000.0,1652700000.0,,3942600000.0,,10500000.0,,,391700000.0,,102400000.0,119000000.0,1.85,118300000.0,423700000.0,,,,3942600000.0,,14.9934,,1.85,391700000.0,,,,0.03085831330996179,0.09935068229087404,,,0.7702547346765898,,,,,,,,,,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2010-09-30,12718500000.0,1188600000.0,1609400000.0,,3935700000.0,,11200000.0,,,594700000.0,330600000.0,154900000.0,182000000.0,2.79,118400000.0,653700000.0,,,,3935700000.0,,15.0381,,2.79,594700000.0,0.025993631324448638,,,0.04675865864685301,0.1511039967477196,,,0.7385361004100908,,,,,,,,,,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2010-12-31,13059800000.0,1331100000.0,1721100000.0,,3932000000.0,,24500000.0,,,-405700000.0,125900000.0,-100300000.0,-123000000.0,-1.8800000000000003,-236700000.0,-570700000.0,,,,3932000000.0,0.7734,15.0724,,-1.8800000000000003,-405700000.0,0.009640270141962358,,,-0.03106479425412334,-0.10317904374364191,,,0.7734007320899425,,,810400000.0,810400000.0,206400000.0,3.86,3.86,4.851924975320829,3.9263565891472867,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2011-03-31,13188600000.0,1459800000.0,1340300000.0,,4339100000.0,,236000000.0,,,295600000.0,170900000.0,63400000.0,89300000.0,0.72,236600000.0,391000000.0,,,,4339100000.0,,14.3244,,0.72,295600000.0,0.012958160835873405,,,0.02241329633168039,0.06812472632573575,,,1.0891591434753414,,,876300000.0,876300000.0,220400000.0,3.4799999999999995,3.4799999999999995,4.9516147438091975,3.9759528130671504,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2011-06-30,13076300000.0,1171900000.0,1143700000.0,,4334600000.0,,10600000.0,,,470000000.0,280400000.0,120800000.0,137900000.0,1.19,236600000.0,648600000.0,,,,4334600000.0,,14.1326,,1.19,470000000.0,0.021443374654910027,,,0.03594288904353678,0.10842984358418309,,,1.024656815598496,,907800000.0,954600000.0,954600000.0,238800000.0,2.8199999999999994,2.8199999999999994,4.540750052377959,3.9974874371859297,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2011-09-30,13249500000.0,1132400000.0,1089400000.0,13249500000.0,4618900000.0,,15100000.0,,,694300000.0,410200000.0,177600000.0,207500000.0,1.74,236000000.0,827600000.0,,,,4618900000.0,,13.4982,,1.74,694300000.0,0.030959658855051135,,,0.05240197743311068,0.15031717508497694,,,1.0394712685882137,,987400000.0,1054200000.0,1054200000.0,261500000.0,1.7699999999999996,1.7699999999999996,4.381426674255359,4.031357552581262,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2011-12-31,13862100000.0,1426200000.0,1364500000.0,13862100000.0,4614300000.0,,14100000.0,,,-572600000.0,-335300000.0,-126000000.0,-170800000.0,-1.4099999999999997,-473800000.0,-873800000.0,,,,4614300000.0,1.0447,15.1849,,-1.4099999999999997,-572600000.0,-0.024188254304903296,,,-0.04130687269605615,-0.12409249506967471,,,1.0452180285818982,,526200000.0,887300000.0,887300000.0,235800000.0,2.24,2.24,5.200383184943086,3.7629346904156065,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2012-03-31,13821300000.0,1279800000.0,1171900000.0,13821300000.0,4602800000.0,,18100000.0,,,295700000.0,172100000.0,58900000.0,96300000.0,,233200000.0,340500000.0,,,,4602800000.0,,15.4642,,,295700000.0,0.012451795417218352,,,0.02139451426421538,0.06424350395411489,,,1.0920727024490144,,527400000.0,887400000.0,887400000.0,231300000.0,,,5.186837953572233,3.8365758754863815,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
2012-06-30,13887600000.0,1236900000.0,1428400000.0,13887600000.0,4297500000.0,,13100000.0,,,518300000.0,291400000.0,120400000.0,162900000.0,1.25,233100000.0,608700000.0,,,,4297500000.0,,17.2235,,1.25,518300000.0,0.020982747198940062,,,0.037321063394683024,0.12060500290866782,,,0.8659339120694484,,538400000.0,935700000.0,935700000.0,230900000.0,,,4.592818210965053,4.052403637938501,0.5269879,118.53,100.605,2.08374,38275.934,24.5563,2.5143,4.0262
