report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,1223630000000.0,1105476000000.0,116142000000.0,199879000000.0,46333000000.0,,,,2547000000.0,2078000000.0,1401000000.0,0.45,5225200000.0,8881000000.0,246212000000.0,13.7093,0.45,,0.02193005114428889,0.0020815115680393585,,,,2.119922164247215,,,,,,,,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2010-06-30,1225862000000.0,1104464000000.0,119772000000.0,185072000000.0,45187000000.0,,,,5609000000.0,4101000000.0,2915000000.0,1.0,5243000000.0,16854000000.0,230259000000.0,11.4225,1.0,,0.04683064489196139,0.004575555812970791,,,,1.9224777076445245,,,,,,,,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2010-09-30,1220784000000.0,1095619000000.0,123658000000.0,163143000000.0,50715000000.0,,,,8948000000.0,6133000000.0,4666000000.0,1.6,5252900000.0,22800000000.0,213858000000.0,11.1662,1.6,,0.07236086626016917,0.007329715985792736,,,,1.7294311730741239,,,,,,,,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2010-12-31,1258128000000.0,1130239000000.0,126408000000.0,156983000000.0,55401000000.0,,,,-4742000000.0,-4273000000.0,-2644000000.0,-0.8399999999999999,-10458000000.0,-29763000000.0,212384000000.0,13.1919,-0.8399999999999999,,-0.03751344851591672,-0.0037690918571083388,,,,1.6801468261502437,,12362000000.0,,,8039000000.0,2.21,2.21,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2011-03-31,1244666000000.0,1109723000000.0,133471000000.0,148603000000.0,54737000000.0,,,,3759000000.0,1821000000.0,1572000000.0,0.67,5333100000.0,17211000000.0,203340000000.0,12.3336,0.67,,0.028163421267541264,0.0030200873165973845,,,,1.5234770099871882,,13574000000.0,,,7782000000.0,2.43,2.43,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2011-06-30,1259734000000.0,1121818000000.0,136401000000.0,142872000000.0,53881000000.0,,,,7707000000.0,3527000000.0,3573000000.0,1.37,5329900000.0,28561000000.0,196753000000.0,10.2636,1.37,,0.05650251830998306,0.0061179582356275216,,,,1.4424600992661345,,15672000000.0,,,7208000000.0,2.8000000000000003,2.8000000000000003,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2011-09-30,1304945000000.0,1165701000000.0,137768000000.0,133214000000.0,50775000000.0,,,17599000000.0,11762000000.0,5163000000.0,5571000000.0,2.09,5325600000.0,37789000000.0,183989000000.0,8.3793,2.09,17599000000.0,0.08537541373903955,0.009013406695301334,,0.01348639214679546,0.05469655671826876,1.3354988095929388,,18486000000.0,,,6238000000.0,3.29,3.29,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2011-12-31,1313867000000.0,1172180000000.0,140241000000.0,125354000000.0,49091000000.0,,,6057000000.0,-7359000000.0,-3862000000.0,-3271000000.0,-1.31,-10665200000.0,-69896000000.0,174445000000.0,9.4477,-1.31,6057000000.0,-0.0524739555479496,-0.005601023543478906,,0.004610055660123894,0.019247758082660174,1.2438944388588216,,15869000000.0,,,6649000000.0,2.82,2.82,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2012-03-31,1333799000000.0,1186950000000.0,145516000000.0,129752000000.0,50964000000.0,,,6648000000.0,4248000000.0,1367000000.0,2328000000.0,0.75,5337800000.0,15905000000.0,180716000000.0,11.1844,0.75,6648000000.0,0.029192666098573353,0.003184887677978466,,0.0049842592474578255,0.02037813580519385,1.2418977981802688,,16358000000.0,,,6195000000.0,2.9,2.9,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2012-06-30,1336204000000.0,1186767000000.0,148070000000.0,124984000000.0,56023000000.0,,,13740000000.0,8870000000.0,2684000000.0,4699000000.0,1.57,5354300000.0,35381000000.0,181007000000.0,10.4675,1.57,13740000000.0,0.059904099412440064,0.006638207938308821,,0.010282861000266427,0.041753145920255745,1.2224420882015263,,17521000000.0,44044000000.0,44044000000.0,5352000000.0,3.0999999999999996,3.0999999999999996,4.109685768776678,8.229446935724962,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2012-09-30,1374715000000.0,1218656000000.0,154679000000.0,130801000000.0,51957000000.0,,,21250000000.0,13807000000.0,3947000000.0,7179000000.0,2.45,5355700000.0,50189000000.0,182758000000.0,10.2461,2.45,21250000000.0,0.08926227865450384,0.010043536296614208,,0.015457749424426154,0.0629747182437018,1.1815307831056576,,19566000000.0,47695000000.0,47695000000.0,4136000000.0,3.46,3.46,3.8318062690009436,11.531673114119922,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2012-12-31,1422968000000.0,1264057000000.0,157554000000.0,127379000000.0,57175000000.0,,,-13167000000.0,-8028000000.0,-2837000000.0,-5103000000.0,-1.4100000000000006,-10696300000.0,-42935000000.0,184554000000.0,9.5254,-1.4100000000000006,-13167000000.0,-0.050953958642751054,-0.005641729118293594,,-0.009253194731012925,-0.0384878459433863,1.1713698160630641,,18897000000.0,28471000000.0,28471000000.0,5161000000.0,3.359999999999999,3.359999999999999,6.482174844578694,5.516566556868824,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2013-03-31,1436634000000.0,1273239000000.0,162086000000.0,126191000000.0,60693000000.0,,,7640000000.0,5171000000.0,1151000000.0,2420000000.0,0.92,5353500000.0,9137000000.0,186884000000.0,9.8544,0.92,7640000000.0,0.03190281702306183,0.003599385786498162,,0.005317986348645515,0.021892999398229075,1.1529928556445344,,19820000000.0,29463000000.0,29463000000.0,4945000000.0,3.5299999999999994,3.5299999999999994,6.343006482707124,5.9581395348837205,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2013-06-30,1440563000000.0,1276786000000.0,162421000000.0,123375000000.0,56983000000.0,,,,5519000000.0,1077000000.0,2863000000.0,0.0,5384600000.0,,180358000000.0,10.5855,0.0,,0.03397959623447707,0.003831141019170977,,,,1.1104352269718818,,16469000000.0,,,3338000000.0,1.9599999999999995,1.9599999999999995,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2013-09-30,1488055000000.0,1319242000000.0,167165000000.0,151212000000.0,53851000000.0,,,,5578000000.0,1028000000.0,2618000000.0,0.0,5381700000.0,,205063000000.0,10.2027,0.0,,0.03336822899530404,0.003748517359909412,,,,1.2267101366912931,,8240000000.0,,,419000000.0,-0.49000000000000077,-0.49000000000000077,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2013-12-31,1527015000000.0,1356007000000.0,170142000000.0,152998000000.0,53883000000.0,,,24989000000.0,5610000000.0,1033000000.0,2504000000.0,2.97,-10748600000.0,48504000000.0,206881000000.0,10.9095,2.97,24989000000.0,0.032972458299538036,0.0036738342452431703,,0.016364606765486914,0.06627977603488382,1.2159313984789175,,21878000000.0,,,4289000000.0,3.89,3.89,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2014-03-31,1546707000000.0,1370238000000.0,175654000000.0,153422000000.0,57061000000.0,,,,5893000000.0,997000000.0,2277000000.0,1.0,5353300000.0,2841000000.0,210483000000.0,11.5892,1.0,,0.03354890864995958,0.0038100299539602523,,,,1.1982818495451284,,22600000000.0,,,4135000000.0,3.97,3.97,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2014-06-30,1598874000000.0,1417325000000.0,180859000000.0,167878000000.0,61849000000.0,,,,11619000000.0,1999000000.0,5146000000.0,2.0,5353200000.0,,229727000000.0,12.0987,2.0,,0.06424341614185636,0.007266989143609816,,,,1.2701994371305825,,28700000000.0,,,5057000000.0,5.970000000000001,5.970000000000001,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2014-09-30,1636855000000.0,1453865000000.0,182481000000.0,184586000000.0,62927000000.0,,,,17348000000.0,3022000000.0,7788000000.0,3.0,5339200000.0,,247513000000.0,11.8665,3.0,,0.09506743167781852,0.010598373099633138,,,,1.3563768282725326,,40470000000.0,,,7051000000.0,8.97,8.97,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2014-12-31,1687155000000.0,1501893000000.0,184394000000.0,183943000000.0,63518000000.0,,,,-11803000000.0,-1993000000.0,-4904000000.0,-2.0,-10721300000.0,,247461000000.0,12.2928,-2.0,,-0.06400967493519312,-0.006995800622942172,,,,1.3420230593186329,,23057000000.0,,,4025000000.0,3.9999999999999996,3.9999999999999996,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2015-03-31,1737737000000.0,1547773000000.0,188796000000.0,183292000000.0,77697000000.0,,,,5804000000.0,977000000.0,2279000000.0,1.0,5243600000.0,,260989000000.0,12.1874,1.0,,0.030742176741032648,0.0033399760723285513,,,,1.3823862793703257,,22968000000.0,,,4005000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2015-06-30,1720617000000.0,1529941000000.0,189558000000.0,179751000000.0,82963000000.0,,,,11523000000.0,1933000000.0,5042000000.0,2.0,5233200000.0,,262714000000.0,12.6123,2.0,,0.06078878232519862,0.006697016244754062,,,,1.3859293725403308,,22872000000.0,,,3939000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2015-09-30,1751265000000.0,1557222000000.0,193051000000.0,185274000000.0,88069000000.0,,,,17319000000.0,2921000000.0,7832000000.0,3.0,5220300000.0,,273343000000.0,11.4468,3.0,,0.08971204500365189,0.009889422788669904,,,,1.4159108214927663,,22843000000.0,,,3838000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2015-12-31,1787632000000.0,1593741000000.0,192998000000.0,199536000000.0,97528000000.0,,,,-11752000000.0,-1855000000.0,-4788000000.0,-2.0,-10487300000.0,,297064000000.0,12.1281,-2.0,,-0.060891822713188735,-0.0065740599855003716,,,,1.5392076601830071,,22894000000.0,,,3976000000.0,4.0,4.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2016-03-31,1849182000000.0,1650678000000.0,197496000000.0,227888000000.0,107703000000.0,,,,5462000000.0,1305000000.0,2567000000.0,0.0,5139400000.0,,335591000000.0,10.8446,0.0,,0.02765625632924211,0.0029537384638180556,,,,1.6992293514805363,,22552000000.0,,,4304000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
2016-06-30,1889235000000.0,1686574000000.0,201745000000.0,243927000000.0,120258000000.0,,,,11020000000.0,2718000000.0,5216000000.0,2.0,5129800000.0,,364185000000.0,10.7319,2.0,,0.05462341074128231,0.005833048826641471,,,,1.8051748494386477,,22049000000.0,,,5089000000.0,3.0,3.0,,,1.0428889,97.76,58.42,17.96255,248702.58,11.6554,1.6153,1.90599
