,shap_importance
momentum_score_sector_rank,0.12832161703330114
momentum_score,0.12108344426665822
sentiment_score_sector_rank,0.039377333327133696
valuation_score_sector_rank,0.022513741114281848
confidence_weighted_score_mean,0.021287969190541055
agent_score_mean,0.016542458118876436
consensus_score_strength,0.014170293075031476
fundamental_score_sector_rank,0.01196240019488435
sector_x_momentum,0.010644028761863293
agent_score_range,0.010222889973666098
bear_score,0.010190204812027322
sector_score,0.007572644255717972
valuation_score,0.006441490499841396
agent_score_max,0.005845145095667079
agent_score_std,0.004133529297192073
fundamental_score,0.0026615976590335538
sector_Trading Companies & Distributors,0.0025979393299569217
agent_score_min,0.0013286451129537876
sector_Technology,0.0011673949340398804
sector_Communication Services,0.0008810838744302453
sector_Road & Rail,0.0008411017932786164
sector_Building,0.0006994621809141089
sector_Metals & Mining,0.0006544035537804008
"sector_Textiles, Apparel & Luxury Goods",0.0005155435371230617
sector_Utilities,0.00048363331940345174
sector_Consumer products,0.0004579631133923724
sector_Airlines,0.00037597054477687595
sector_Commercial Services & Supplies,0.0003072809600875236
sector_Communications,0.00029769425936004504
sector_Professional Services,0.00025482075253537955
sector_Distributors,0.00023347117617638299
sector_Financials,0.0001841360382627613
sector_Packaging,0.0001758407563140463
"sector_Hotels, Restaurants & Leisure",0.00017570999503991317
sector_Life Sciences Tools & Services,0.00014397389027176417
sector_Materials,7.67037633678854e-05
bullish_agent_score_count,5.244764171685094e-05
sector_Electrical Equipment,1.8659244139335622e-05
sector_Consumer Discretionary,1.1614059862575833e-05
sector_Machinery,1.067434279931759e-05
sector_Energy,6.7167586009510015e-06
sector_Auto Components,6.6834657472342715e-06
sector_Telecommunication,4.245793083170589e-06
sentiment_score,0.0
sector_Banking,0.0
sector_Construction,0.0
sector_Health Care,0.0
sector_Consumer Staples,0.0
sector_Real Estate,0.0
sector_Leisure Products,0.0
sector_Industrials,0.0
sector_Industrial Conglomerates,0.0
sector_Healthcare,0.0
sector_Tobacco,0.0
