,importance
interest_coverage,0.1617418156093996
debt_to_ebitda,0.1357259467685206
eps_surprise_pct,0.12578941459512002
current_ratio,0.12444366623364478
eps_revision,0.12219984364398483
debt_equity,0.11414222450650939
total_debt_yoy_growth,0.11127304490197529
revenue_decline,0.019635292545007604
consecutive_losses,0.014643969914532866
low_coverage,0.01280426059401329
debt_growth_high,0.012075683114232075
liquidity_risk,0.010940778759877165
eps_miss,0.01036202413355727
debt_ebitda_high,0.008454430176471264
debt_equity_high,0.008396780701214348
insider_net_shares_90d,0.0033696146326437646
insider_sell_ratio,0.0025938588343968542
insider_selling,0.0014073503348991314
fcf_negative,0.0
