,shap_importance
total_debt_yoy_growth,0.04602007443859253
current_ratio,0.02933109840090082
interest_coverage,0.02561186853300766
debt_equity,0.019540664034609353
debt_to_ebitda,0.00996926612783175
liquidity_risk,0.0041403823451223315
debt_ebitda_high,0.0031523956019417067
debt_growth_high,0.0028839575952369517
revenue_decline,0.0017098552959429597
debt_equity_high,0.0007515242047617279
low_coverage,0.000719499617921586
consecutive_losses,0.00041059541973010954
insider_net_shares_90d,0.0
insider_sell_ratio,0.0
fcf_negative,0.0
insider_selling,0.0
eps_miss,0.0
