,importance
sector_Computer And Technology,0.030502303
debt_to_ebitda_zsector,0.02769149
sector_Retail-Wholesale,0.027490478
current_ratio,0.024720293
accruals_ratio,0.024678139
sector_Construction,0.023927566
roe,0.023748055
ebitda_margin_zsector,0.02345707
volatility_20d_zsector,0.02340795
debt_equity_zsector,0.02325506
revenue_yoy_growth_zsector,0.023099585
roic_zsector,0.023067214
net_margin_zsector,0.02300158
roe_zsector,0.022972118
eps_yoy_growth_zsector,0.022936326
momentum_12m_zsector,0.022749072
total_debt_yoy_growth,0.02243263
revenue_yoy_growth,0.022327615
interest_coverage,0.022287648
current_ratio_zsector,0.022138255
roa_zsector,0.021881435
debt_to_ebitda,0.021830924
debt_equity,0.021613115
eps_yoy_growth,0.02157003
quick_ratio,0.02138843
net_income_yoy_growth,0.02129572
roa,0.021235885
pe_ratio_zsector,0.02115962
operating_margin,0.021065071
gross_margin,0.021016512
interest_coverage_zsector,0.020805918
roi_zsector,0.02063534
roi,0.020564396
quick_ratio_zsector,0.020508356
operating_margin_zsector,0.020488169
operating_income_yoy_growth,0.020327939
net_income_yoy_growth_zsector,0.020226838
roic,0.019684989
ebitda_margin,0.019633219
ev_to_ebitda_zsector,0.01940273
eps,0.019376118
net_margin,0.019347249
pb_ratio_zsector,0.018934853
sector_Finance,0.018796008
gross_margin_zsector,0.017223813
sector_Industrial Products,0.010096952
fcf_margin,0.0
fcf_margin_zsector,0.0
consecutive_losses,0.0
capex_to_revenue,0.0
fcf_yield_zsector,0.0
sector_Aerospace,0.0
sector_Business Services,0.0
sector_Basic Materials,0.0
sector_Auto-Tires-Trucks,0.0
sector_Consumer Staples,0.0
sector_Consumer Discretionary,0.0
sector_Conglomerates,0.0
sector_Medical,0.0
sector_Oils-Energy,0.0
sector_Transportation,0.0
sector_Unknown,0.0
sector_Utilities,0.0
