,importance
momentum_score,0.5134308818113107
mom_minus_bear,0.10603439219605641
bear_score,0.049830633026440536
valuation_score,0.046411605683393885
sp500_momentum_3m,0.04242745121446925
fund_x_val,0.034684375224079446
yield_curve,0.029649105641588163
sp500_momentum_12m,0.025706151627800846
sector_Consumer Staples,0.022846263377843058
vix,0.021955112925084477
fundamental_score,0.019195873945525955
sector_Finance,0.015665107426661502
sector_Aerospace,0.012493978778080981
sector_Medical,0.012383571675033093
sector_Computer And Technology,0.009395293283706002
sector_Business Services,0.006710253071539516
sector_Consumer Discretionary,0.006592663407188171
sector_Transportation,0.006063646515306932
sector_Basic Materials,0.005948959762754816
sector_Oils-Energy,0.0028643035547740144
sector_Utilities,0.002588733287025369
sector_Conglomerates,0.001961365078616722
sector_Industrial Products,0.0015430066243467323
sector_Retail-Wholesale,0.0014465126680138754
sector_Auto-Tires-Trucks,0.0013542635337167295
sector_Construction,0.0008164946596428393
sector_Unknown,0.0
