,shap_importance
momentum_score,0.5371750929119311
vix,0.3093407389130959
mom_minus_bear,0.27355692956887945
bear_score,0.19041918012625314
sector_Computer And Technology,0.18552918546235642
fund_x_val,0.15426418520627155
sp500_momentum_3m,0.05120314552056762
fundamental_score,0.04363063769224822
valuation_score,0.03766938101659278
sector_Finance,0.03678251764068782
sector_Utilities,0.028524088985268398
sector_Consumer Staples,0.02600775580918308
yield_curve,0.015599226292864705
sector_Construction,0.014707328247113065
sector_Retail-Wholesale,0.009798943740220736
sector_Business Services,0.008217116073853363
sp500_momentum_12m,0.004616374504360784
sector_Conglomerates,0.004563683094887695
sector_Transportation,0.003401679744873911
sector_Medical,0.002036371296642477
sector_Oils-Energy,0.0019391989140908825
sector_Consumer Discretionary,0.0017167507717043454
sector_Aerospace,0.0007932446669439014
sector_Auto-Tires-Trucks,0.0007391035016864001
sector_Basic Materials,0.0005717736494833463
sector_Industrial Products,0.00032443991453270677
sector_Unknown,0.0
