,importance
sp500_momentum_3m,0.10619534903265586
volatility_60d,0.06225488804444221
volatility_20d,0.053466389693315484
macd_hist,0.049392278704721
momentum_3m,0.04937702238005022
sp500_momentum_12m,0.04750853882714805
vix,0.04630666564930728
momentum_12m,0.04001725982958356
sma_50,0.03855509339092039
yield_curve,0.03603686404604875
sma_20,0.036033095443056454
bb_pct,0.035293802331224984
rsi_28,0.03405717367956564
atr_14,0.03385941294342133
momentum_6m,0.03295133570001146
momentum_quality,0.032271473213821296
macd_signal,0.0321312801482059
price_vs_52w_low,0.03197222168517342
price_vs_52w_high,0.031943657721198525
momentum_1m,0.03191641609510502
vol_ratio_20_50,0.031129079069113066
sma_200,0.026255879581298894
rsi_14,0.025761228854284713
macd,0.023274173149467527
cross_sma_20_50,0.014709644519552348
inverted_yield_curve,0.008259721454346357
macd_bullish,0.0034055857604183082
high_vix_regime,0.002622016744992631
above_sma200,0.0021655326339251164
rsi_overbought,0.0008769196736242191
rsi_oversold,0.0
vol_expansion,0.0
