ticker,final_score,label,fundamental_score,valuation_score,momentum_score,bear_score,sector_score,rank,selected,common_score,common_label,score_gap_vs_threshold,score_gap_vs_selected_cutoff,selected_cutoff_score,selected_rank,selection_reason,above_threshold,distance_to_threshold,selected_position
COO,0.8781096560742752,0,0.536276804485118,0.6143140362982319,0.48085592141000216,0.537633238728169,0.6105304927873977,1,False,0.8781096560742752,Outperform,0.3081096560742752,0.08410308752075712,0.794006568553518,,qualified_but_not_selected,True,0.3081096560742752,
ORLY,0.8587610466336802,1,0.5803028327694085,0.49539026512854,0.5096461525661858,0.4943037412077391,0.7706374609078226,2,True,0.8587610466336802,Outperform,0.2887610466336803,0.06475447808016221,0.794006568553518,3.0,selected_above_threshold,True,0.2887610466336803,2.0
PVH,0.841938525131278,0,0.5267195203142174,0.558875209152355,0.5450194196831442,0.550767153937445,0.5523295537188344,3,False,0.841938525131278,Outperform,0.27193852513127803,0.04793195657775995,0.794006568553518,,qualified_but_not_selected,True,0.27193852513127803,
EBAY,0.8408782437401681,0,0.4793293026211997,0.511758215477532,0.5419393378511047,0.46600366272758054,0.7706374609078226,4,False,0.8408782437401681,Outperform,0.2708782437401681,0.04687167518665003,0.794006568553518,,qualified_but_not_selected,True,0.2708782437401681,
LEN,0.8355289030229881,0,0.5113369966294066,0.4665200885836134,0.5912031426641706,0.4999906383112461,0.6990682481562541,5,False,0.8355289030229881,Outperform,0.26552890302298815,0.04152233446947007,0.794006568553518,,qualified_but_not_selected,True,0.26552890302298815,
NRG,0.8350105522441467,1,0.43479333263459263,0.5786014048856463,0.5125280815469737,0.4345993542567609,0.6211122347507207,6,False,0.8350105522441467,Outperform,0.2650105522441467,0.04100398369062863,0.794006568553518,,qualified_but_not_selected,True,0.2650105522441467,
COF,0.8325407573589817,0,0.47136192977797686,0.5259157710332417,0.510230709788863,0.4847879820221575,0.6192246063892334,7,False,0.8325407573589817,Outperform,0.26254075735898175,0.038534188805463665,0.794006568553518,,qualified_but_not_selected,True,0.26254075735898175,
NFLX,0.8294788746582512,0,0.46341197005064005,0.5097508881454381,0.6001493749253939,0.49704357169650165,0.6015127526758494,8,True,0.8294788746582512,Outperform,0.25947887465825126,0.035472306104733176,0.794006568553518,4.0,selected_above_threshold,True,0.25947887465825126,8.0
LRCX,0.8261789211964045,0,0.44947504876002825,0.5654639428457069,0.5602319670468798,0.5132681241343134,0.7704709077364975,9,True,0.8261789211964045,Outperform,0.2561789211964045,0.032172352642886426,0.794006568553518,7.0,selected_above_threshold,True,0.2561789211964045,9.0
AMZN,0.8243309017445962,0,0.4912571838864512,0.5163303277459224,0.528293178157744,0.49576007516671183,0.7706374609078226,10,True,0.8243309017445962,Outperform,0.25433090174459627,0.03032433319107819,0.794006568553518,1.0,selected_above_threshold,True,0.25433090174459627,10.0
DGX,0.8236904746555286,1,0.44218273155855753,0.489135838514478,0.5603050450999147,0.5084717477201869,0.6105304927873977,11,False,0.8236904746555286,Outperform,0.25369047465552863,0.02968390610201055,0.794006568553518,,qualified_but_not_selected,True,0.25369047465552863,
WDC,0.8224993577369797,0,0.4390594593856796,0.501859508326096,0.5584031138783951,0.53371103936425,0.7704709077364975,12,False,0.8224993577369797,Outperform,0.25249935773697973,0.028492789183461653,0.794006568553518,,qualified_but_not_selected,True,0.25249935773697973,
NVDA,0.8224941799929182,0,0.4936239670544686,0.5298933775069519,0.5689356313640446,0.5284657854716861,0.7704709077364975,13,True,0.8224941799929182,Outperform,0.25249417999291823,0.02848761143940015,0.794006568553518,2.0,selected_above_threshold,True,0.25249417999291823,13.0
GS,0.8214104626258959,0,0.44503471858931243,0.4887455606520466,0.528457908161034,0.4868809568956373,0.6192246063892334,14,False,0.8214104626258959,Outperform,0.25141046262589595,0.027403894072377866,0.794006568553518,,qualified_but_not_selected,True,0.25141046262589595,
DHI,0.8207822997037706,0,0.46276706704779325,0.4831745690007458,0.5840284378498701,0.49584705940888585,0.6990682481562541,15,False,0.8207822997037706,Outperform,0.25078229970377064,0.026775731150252557,0.794006568553518,,qualified_but_not_selected,True,0.25078229970377064,
BIIB,0.8152382685522024,0,0.48073823013796585,0.4675339282007648,0.5968351014453674,0.5285542792409313,0.7704709077364975,16,False,0.8152382685522024,Outperform,0.24523826855220243,0.02123169999868435,0.794006568553518,,qualified_but_not_selected,True,0.24523826855220243,
BIO,0.8130371593698499,0,0.48347026591661707,0.4786837094950705,0.5488945774045405,0.49167337079937423,0.5334875048693354,17,False,0.8130371593698499,Outperform,0.24303715936984993,0.01903059081633185,0.794006568553518,,qualified_but_not_selected,True,0.24303715936984993,
CPRT,0.8128555562206504,0,0.4937492454253482,0.5053608584217872,0.5731915453862789,0.5212557786772705,0.6091730384254076,18,True,0.8128555562206504,Outperform,0.24285555622065047,0.01884898766713239,0.794006568553518,6.0,selected_above_threshold,True,0.24285555622065047,18.0
PNR,0.8103361199962252,0,0.502925852567534,0.5161107303706405,0.5504681101735811,0.5265705185414586,0.629980560996597,19,False,0.8103361199962252,Outperform,0.24033611999622528,0.016329551442707202,0.794006568553518,,qualified_but_not_selected,True,0.24033611999622528,
F,0.8083227511779308,0,0.5614307829288031,0.478079577018476,0.5762208562890923,0.4902499259192315,0.7706374609078226,20,False,0.8083227511779308,Outperform,0.2383227511779309,0.01431618262441281,0.794006568553518,,qualified_but_not_selected,True,0.2383227511779309,
BBY,0.8069954116905848,0,0.4628347618658375,0.5138006624686418,0.5660887569795314,0.4599417044070871,0.7706374609078226,21,False,0.8069954116905848,Outperform,0.2369954116905848,0.012988843137066719,0.794006568553518,,qualified_but_not_selected,True,0.2369954116905848,
KMX,0.7991920102057282,0,0.4894800779337704,0.5757240053350255,0.5736811852954817,0.5038579791237646,0.7706374609078226,22,False,0.7991920102057282,Outperform,0.2291920102057282,0.005185441652210132,0.794006568553518,,qualified_but_not_selected,True,0.2291920102057282,
IVZ,0.7973079649488866,0,0.509718660305433,0.48802370064830225,0.5337185637081796,0.49014541314782745,0.6192246063892334,23,False,0.7973079649488866,Outperform,0.2273079649488866,0.0033013963953685277,0.794006568553518,,qualified_but_not_selected,True,0.2273079649488866,
UAA,0.7958502897932708,0,0.4890149197557667,0.5198489316753605,0.6278892092995254,0.4851493026269257,0.5523295537188344,24,False,0.7958502897932708,Outperform,0.22585028979327082,0.001843721239752738,0.794006568553518,,qualified_but_not_selected,True,0.22585028979327082,
REGN,0.794006568553518,1,0.5294064420916964,0.567861571868492,0.4685848516095883,0.5162799034627684,0.7704709077364975,25,True,0.794006568553518,Outperform,0.22400656855351808,0.0,0.794006568553518,5.0,selected_above_threshold,True,0.22400656855351808,25.0
PRU,0.7906307255948058,0,0.44126627094427656,0.5259157710332417,0.5234417361758626,0.4915108004481834,0.6192246063892334,26,False,0.7906307255948058,Outperform,0.2206307255948059,-0.003375842958712183,0.794006568553518,,qualified_but_not_selected,True,0.2206307255948059,
MOS,0.7902946960951328,1,0.4425327565483775,0.5161188282914394,0.5417159767800349,0.4900319394193488,0.7177562530474082,27,False,0.7902946960951328,Outperform,0.22029469609513286,-0.0037118724583852236,0.794006568553518,,qualified_but_not_selected,True,0.22029469609513286,
