,importance
ev_to_ebitda,0.06801507942426233
fcf_yield__pct_universe,0.06557305994013268
ev_to_ebitda__pct_universe,0.06214454921549297
fcf_yield,0.05494695108906803
pb_ratio,0.05463357567836086
ev_ebitda_vs_5y_median__pct_universe,0.05309720510403584
pb_ratio__pct_universe,0.04468285807634741
ev_ebitda_vs_5y_median,0.044467248889753376
ps_ratio__pct_universe,0.043924393811516846
ps_ratio,0.041666059768222304
fcf_yield__pct_sector,0.038966741209864694
earnings_yield__pct_universe,0.038872972318818484
pe_ratio__pct_universe,0.037592961639849584
ps_ratio__pct_sector,0.03467165234858359
pe_ratio,0.03460211179322268
rule_confidence,0.03319910951720852
pe_vs_5y_median__pct_universe,0.03263767046028622
pe_vs_5y_median,0.03141448748554283
earnings_yield,0.030543457159589178
ev_to_ebitda__pct_sector,0.03024406571857962
ev_ebitda_vs_5y_median__pct_sector,0.02976095936342717
pe_vs_5y_median__pct_sector,0.025776405441834765
earnings_yield__pct_sector,0.024263854562789646
pb_ratio__pct_sector,0.02401569236145041
pe_ratio__pct_sector,0.020286877621759992
