,importance
revenue_decline__pct_universe,0.2829472349728752
consecutive_losses__pct_universe,0.227942982587227
interest_coverage__pct_universe,0.10964908697651071
debt_equity__pct_universe,0.05137000200426156
interest_coverage__pct_sector,0.03987500440207224
revenue_decline,0.03968703730961645
total_debt_yoy_growth__pct_universe,0.03498009172032718
current_ratio__pct_universe,0.024675088753822478
fcf_margin__pct_universe,0.024354344014200204
consecutive_losses__pct_sector,0.020689018642760557
debt_equity,0.01563754320011156
current_ratio__pct_sector,0.015235911902066367
interest_coverage,0.015037133532107115
debt_to_ebitda__pct_universe,0.014835712566121534
rule_confidence,0.014213184560461473
revenue_decline__pct_sector,0.012889697299689808
current_ratio,0.012139467119332155
fcf_margin__pct_sector,0.00985304401575711
fcf_margin,0.006585225839300924
debt_equity__pct_sector,0.00588344537653906
debt_to_ebitda__pct_sector,0.005523308336657827
total_debt_yoy_growth,0.005082101488855154
insider_net_ratio_90d__pct_universe,0.0025144748759950647
insider_sell_ratio,0.002290978010510464
debt_to_ebitda,0.0017940380617052878
insider_net_ratio_90d__pct_sector,0.001270045280007578
total_debt_yoy_growth__pct_sector,0.0012200059816749708
consecutive_losses,0.0011512526676083733
insider_net_ratio_90d,0.0003691614473390225
insider_sell_ratio__pct_sector,0.0003043770544857913
insider_sell_ratio__pct_universe,0.0
