ticker,has_prices,has_consolidated,price_min_date,price_max_date,n_snapshots_master_dataset,ticker_ok,missing_pct_fundamental,missing_pct_technical,missing_pct_valuation,missing_pct_insider,missing_pct_sentiment
A,True,True,1999-12-31,2026-04-02,65,True,0.46153846153846156,0.056410256410256404,0.2136752136752137,0.0,0.9048951048951049
AABA,False,False,,,0,False,,,,,
AAL,True,True,2005-09-27,2026-04-02,56,True,0.34880952380952385,0.05555555555555555,0.7202380952380952,0.125,0.922077922077922
AAP,True,True,2001-11-29,2026-04-02,65,True,0.1712820512820513,0.056410256410256404,0.24102564102564106,0.0038461538461538464,0.876923076923077
AAPL,True,True,1999-12-31,2026-04-02,64,True,0.16875,0.05555555555555555,0.24131944444444445,0.0,0.8920454545454546
ABBV,True,True,2013-01-02,2026-04-02,52,True,0.30256410256410254,0.05876068376068376,0.1452991452991453,0.0,0.8863636363636364
ABC,False,True,,,0,False,,,,,
ABI,True,False,2025-06-26,2026-05-01,0,False,,,,,
ABKFQ,False,False,,,0,False,,,,,
ABMD,False,True,,,0,False,,,,,
ABNB,True,True,2020-12-10,2026-04-02,20,True,0.3366666666666667,0.0638888888888889,0.26666666666666666,0.0,0.8363636363636364
ABT,True,True,1999-12-31,2026-04-02,64,True,0.32708333333333334,0.05555555555555555,0.12152777777777778,0.0,0.9176136363636364
ACAS,False,False,,,0,False,,,,,
ACGL,True,True,1999-12-31,2026-04-02,63,True,0.48783068783068784,0.05555555555555555,0.35978835978835977,0.0,0.8903318903318904
ACN,True,True,2001-07-19,2026-04-02,64,True,0.29791666666666666,0.05642361111111111,0.18229166666666666,0.0,0.8792613636363636
ACS,False,False,,,0,False,,,,,
ADBE,True,True,1999-12-31,2026-04-02,65,True,0.1682051282051282,0.056410256410256404,0.2,0.0,0.890909090909091
ADCT,True,True,2020-05-18,2026-05-01,0,True,,,,,
ADI,True,True,1999-12-31,2026-04-02,65,True,0.19076923076923077,0.056410256410256404,0.23247863247863249,0.011538461538461539,0.897902097902098
ADM,True,True,1999-12-31,2026-04-02,64,True,0.22291666666666668,0.05555555555555555,0.2604166666666667,0.0,0.90625
ADP,True,True,1999-12-31,2026-04-02,63,True,0.3693121693121693,0.05555555555555555,0.41269841269841273,0.0,0.8961038961038962
ADS,False,True,,,0,False,,,,,
ADSK,True,True,1999-12-31,2026-04-02,65,True,0.17333333333333334,0.056410256410256404,0.33162393162393167,0.011538461538461539,0.8937062937062937
ADT,True,True,2018-01-19,2026-04-02,0,True,,,,,
AEE,True,True,1999-12-31,2026-04-02,64,True,0.36041666666666666,0.05555555555555555,0.4722222222222222,0.0,0.9133522727272727
AEP,True,True,1999-12-31,2026-04-02,49,True,0.32108843537414966,0.05555555555555555,0.14285714285714288,0.00510204081632653,0.9276437847866419
AES,True,True,1999-12-31,2026-04-02,64,True,0.33958333333333335,0.05555555555555555,0.5659722222222222,0.01171875,0.921875
AET,True,True,1999-12-31,2026-04-02,11,True,0.5151515151515151,0.05555555555555555,0.7474747474747475,0.0,0.9669421487603306
AFL,True,True,1999-12-31,2026-04-02,64,True,0.5270833333333333,0.05555555555555555,0.3802083333333333,0.0078125,0.890625
AGN,False,True,,,0,False,,,,,
AIG,True,True,1999-12-31,2026-04-02,64,True,0.48541666666666666,0.05555555555555555,0.4947916666666667,0.0,0.9105113636363636
AIV,True,True,1999-12-31,2026-04-02,53,True,0.45031446540880504,0.05555555555555555,0.59958071278826,0.0047169811320754715,0.9656946826758147
AIZ,True,True,2004-02-05,2026-04-02,64,True,0.490625,0.05555555555555555,0.2899305555555556,0.0,0.8934659090909091
AJG,True,True,1999-12-31,2026-04-02,63,True,0.3904761904761905,0.05555555555555555,0.6878306878306878,0.0,0.8946608946608947
AKAM,True,True,1999-12-31,2026-04-02,63,True,0.3566137566137566,0.05555555555555555,0.07936507936507936,0.0,0.9018759018759019
AKS,False,False,,,0,False,,,,,
ALB,True,True,1999-12-31,2026-04-02,63,True,0.1693121693121693,0.05555555555555555,0.13051146384479717,0.003968253968253968,0.8961038961038962
ALGN,True,True,2001-01-30,2026-04-02,63,True,0.1693121693121693,0.05555555555555555,0.08112874779541446,0.003968253968253968,0.898989898989899
ALK,True,True,1999-12-31,2026-04-02,63,True,0.30158730158730157,0.05555555555555555,0.2275132275132275,0.0,0.8917748917748919
ALL,True,True,1999-12-31,2026-04-02,64,True,0.5333333333333333,0.05555555555555555,0.2916666666666667,0.0078125,0.8977272727272727
ALLE,True,True,2013-11-18,2026-04-02,48,True,0.32222222222222224,0.059027777777777776,0.19675925925925924,0.0,0.8958333333333331
ALTR,False,True,,,0,False,,,,,
ALXN,False,True,,,0,False,,,,,
AMAT,True,True,1999-12-31,2026-04-02,65,True,0.17333333333333334,0.056410256410256404,0.2837606837606838,0.0,0.9034965034965036
AMCR,True,True,2012-05-15,2026-04-02,28,True,0.22857142857142856,0.05555555555555555,0.7182539682539683,0.017857142857142856,0.8668831168831169
AMD,True,True,1999-12-31,2026-04-02,63,True,0.25502645502645505,0.05555555555555555,0.3633156966490299,0.0,0.9365079365079366
AME,True,True,1999-12-31,2026-04-02,64,True,0.3229166666666667,0.05555555555555555,0.0798611111111111,0.0,0.8948863636363636
AMG,True,True,1999-12-31,2026-04-02,63,True,0.4973544973544973,0.05555555555555555,0.25396825396825395,0.0,0.8903318903318904
AMGN,True,True,1999-12-31,2026-04-02,64,True,0.35625,0.05555555555555555,0.16493055555555555,0.0,0.8934659090909091
AMP,True,True,2005-09-15,2026-04-02,64,True,0.49895833333333334,0.05555555555555555,0.6666666666666666,0.0,0.8948863636363636
AMT,True,True,1999-12-31,2026-04-02,64,True,0.296875,0.05555555555555555,0.1284722222222222,0.00390625,0.9005681818181818
AMTM,True,True,2024-09-24,2026-04-02,7,True,0.5142857142857143,0.12698412698412698,0.873015873015873,0.5,0.5974025974025974
AMZN,True,True,1999-12-31,2026-04-02,64,True,0.29791666666666666,0.05555555555555555,0.296875,0.00390625,0.9076704545454546
AN,True,True,1999-12-31,2026-04-02,0,True,,,,,
ANDV,True,False,1999-12-31,2026-04-02,0,False,,,,,
ANET,True,True,2014-06-06,2026-04-02,47,True,0.18439716312056736,0.06382978723404255,0.15602836879432624,0.010638297872340425,0.8897485493230174
ANF,True,True,1999-12-31,2026-05-01,0,True,,,,,
ANRZQ,False,False,,,0,False,,,,,
ANSS,False,True,,,0,False,,,,,
ANTM,False,True,,,0,False,,,,,
