,importance
consecutive_losses__pct_universe,0.37067923885024484
revenue_decline__pct_universe,0.1318159709042304
consecutive_losses__pct_sector,0.04563469398812996
interest_coverage__pct_universe,0.03841743516661573
current_ratio,0.029089577731591508
interest_coverage,0.028498172287331622
interest_coverage__pct_sector,0.028227251926646935
revenue_decline__pct_sector,0.026932991684782765
total_debt_yoy_growth__pct_universe,0.026562392367446636
fcf_margin__pct_universe,0.02575892196629061
debt_to_ebitda__pct_universe,0.019797970588613184
debt_to_ebitda__pct_sector,0.01971930800584479
fcf_margin__pct_sector,0.018312456204854447
current_ratio__pct_universe,0.01814554169839351
debt_equity__pct_sector,0.017167687525203437
insider_net_ratio_90d,0.01694806649081353
current_ratio__pct_sector,0.015906645933051113
debt_equity__pct_universe,0.015210022039820319
insider_sell_ratio__pct_universe,0.013376572155810113
insider_net_ratio_90d__pct_universe,0.013368088600324733
fcf_margin,0.012429771795652
debt_to_ebitda,0.012054302409041106
insider_sell_ratio,0.01196779150241359
total_debt_yoy_growth__pct_sector,0.010902617859609418
total_debt_yoy_growth,0.009732296857566049
insider_sell_ratio__pct_sector,0.008266157251315949
insider_net_ratio_90d__pct_sector,0.0074618648617971696
debt_equity,0.0057242488693632935
revenue_decline,0.0012814369326840619
consecutive_losses,0.000610505544517128
