,importance
gross_margin__pct_universe,0.21515795164962107
capex_to_revenue__pct_universe,0.11042796079118192
capex_to_revenue,0.0862303372764202
fcf_margin__pct_universe,0.07876595070142774
fcf_margin,0.05860876977873572
fcf_yoy_growth__pct_universe,0.047877021750208436
gross_margin__pct_sector,0.03681135676842429
fcf_yoy_growth,0.0323978126720726
roa,0.027286314992721404
net_margin__pct_universe,0.025912574724825797
current_ratio,0.024551035469693748
roe,0.02453952091341399
roe__pct_universe,0.02440246832696157
capex_to_revenue__pct_sector,0.022094950691316624
current_ratio__pct_universe,0.020103975928488272
roa__pct_universe,0.01832007925899244
fcf_margin__pct_sector,0.018236854492015234
net_margin,0.016128734054951365
ebitda_margin,0.013176202302332879
operating_margin__pct_universe,0.013022827586449879
ebitda_margin__pct_universe,0.011891435342895818
roa__pct_sector,0.011290218194121678
gross_margin,0.010997591028205302
net_margin__pct_sector,0.010256469016431896
operating_margin,0.008760375114574438
roe__pct_sector,0.00871829700203712
current_ratio__pct_sector,0.008003411555660266
fcf_yoy_growth__pct_sector,0.005725817682270957
operating_margin__pct_sector,0.0056539016371019045
ebitda_margin__pct_sector,0.004649783296445376
