fold_id,ticker,feature_group,n_rows_future_detected,max_future_date_detected,context
2024Q4,A,sentiment,4,2026-04-01,rec_df:A
2024Q4,A,sentiment,10,2026-03-01,mspr_df:A
2024Q4,A,insider,102,2026-03-31,insider_df:A
2024Q4,A,sentiment,4,2026-03-31,eps_df:A
2024Q4,A,technical,283,2026-04-02,prices_df:A
2024Q4,A,fundamental,4,2026-01-31,consolidated_df:A
2024Q4,A,valuation,4,2026-01-31,valuation_input:A
2024Q4,AAPL,sentiment,4,2026-04-01,rec_df:AAPL
2024Q4,AAPL,sentiment,9,2026-04-01,mspr_df:AAPL
2024Q4,AAPL,insider,151,2026-04-02,insider_df:AAPL
2024Q4,AAPL,sentiment,4,2025-12-31,eps_df:AAPL
2024Q4,AAPL,technical,283,2026-04-02,prices_df:AAPL
2024Q4,AAPL,fundamental,4,2025-12-27,consolidated_df:AAPL
2024Q4,AAPL,valuation,4,2025-12-27,valuation_input:AAPL
2024Q4,ABBV,sentiment,4,2026-04-01,rec_df:ABBV
2024Q4,ABBV,sentiment,8,2026-03-01,mspr_df:ABBV
2024Q4,ABBV,insider,144,2026-03-31,insider_df:ABBV
2024Q4,ABBV,sentiment,4,2025-12-31,eps_df:ABBV
2024Q4,ABBV,technical,283,2026-04-02,prices_df:ABBV
2024Q4,ABBV,fundamental,4,2025-12-31,consolidated_df:ABBV
2024Q4,ABBV,valuation,4,2025-12-31,valuation_input:ABBV
2024Q4,ABT,sentiment,4,2026-04-01,rec_df:ABT
2024Q4,ABT,sentiment,10,2026-03-01,mspr_df:ABT
2024Q4,ABT,insider,122,2026-03-31,insider_df:ABT
2024Q4,ABT,sentiment,4,2025-12-31,eps_df:ABT
2024Q4,ABT,technical,283,2026-04-02,prices_df:ABT
2024Q4,ABT,fundamental,4,2025-12-31,consolidated_df:ABT
2024Q4,ABT,valuation,4,2025-12-31,valuation_input:ABT
2024Q4,ACGL,sentiment,4,2026-04-01,rec_df:ACGL
2024Q4,ACGL,sentiment,8,2026-03-01,mspr_df:ACGL
2024Q4,ACGL,insider,121,2026-03-11,insider_df:ACGL
2024Q4,ACGL,sentiment,4,2025-12-31,eps_df:ACGL
2024Q4,ACGL,technical,283,2026-04-02,prices_df:ACGL
2024Q4,ACGL,fundamental,4,2025-12-31,consolidated_df:ACGL
2024Q4,ACGL,valuation,4,2025-12-31,valuation_input:ACGL
2024Q4,ACN,sentiment,4,2026-04-01,rec_df:ACN
2024Q4,ACN,sentiment,13,2026-03-01,mspr_df:ACN
2024Q4,ACN,insider,406,2026-03-05,insider_df:ACN
2024Q4,ACN,sentiment,4,2026-03-31,eps_df:ACN
2024Q4,ACN,technical,283,2026-04-02,prices_df:ACN
2024Q4,ACN,fundamental,5,2026-02-28,consolidated_df:ACN
2024Q4,ACN,valuation,5,2026-02-28,valuation_input:ACN
2024Q4,ADBE,sentiment,4,2026-04-01,rec_df:ADBE
2024Q4,ADBE,sentiment,10,2026-03-01,mspr_df:ADBE
2024Q4,ADBE,insider,416,2026-03-15,insider_df:ADBE
2024Q4,ADBE,sentiment,4,2026-03-31,eps_df:ADBE
